Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Apoptosis
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Epigenetic, Unknown
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome,Proteostasis,Epigenetic,DNA Repair,Unknown
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Cell Cycle
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Polytene Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Unknown, APP Metabolism
GO Term: Chiasma -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Unknown
GO Term: Recombination Nodule -> Biodomain: Unknown,DNA Repair,Epigenetic,Cell Cycle,Apoptosis
GO Term: Late Recombination Nodule -> Biodomain: Unknown, DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Unknown
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: Nucleolus -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Nucleolus Organizer Region -> Biodomain: Proteostasis, Epigenetic, Apoptosis, RNA Spliceosome, Unknown
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Synapse
GO Term: Rna Polymerase I Complex -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Cytoplasm -> Biodomain: Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Immune Response
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Endosome -> Biodomain: Endolysosome, APP Metabolism, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Synapse
GO Term: Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Peroxisomal Matrix -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Autophagy
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Synapse, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism, Endolysosome
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Tau Homeostasis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Stack -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Lumen -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Golgi-Associated Vesicle -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Centrosome -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Unknown
GO Term: Microtubule Organizing Center -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Aster -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Spindle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Tau Homeostasis
GO Term: Actomyosin Contractile Ring -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Tau Homeostasis, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Cytosol -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Synapse, Oxidative Stress
GO Term: Hemoglobin Complex -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Ribosome -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: Nuclear Cap Binding Complex -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Synapse, DNA Repair
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, APP Metabolism, Unknown
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, APP Metabolism
GO Term: Mrna Cleavage Factor Complex -> Biodomain: APP Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Tau Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Endolysosome
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Unknown_Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Unknown_Temp_0.0/runtime_log.csv
