Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Sensory Perception Of Light Stimulus -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Sensory Perception Of Mechanical Stimulus -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Thermoception -> Biodomain: Synapse, Myelination, Oxidative Stress, Proteostasis, Vasculature
GO Term: Equilibrioception -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Detection Of Temperature Stimulus Involved In Thermoception -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Immune Response
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Myelination, Vasculature
GO Term: Detection Of Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Dimethylallyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Quaternary Ammonium Group Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Nitric-Oxide Synthase Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Negative Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Metal Binding and Homeostasis
GO Term: Hsp27 Protein Binding -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Structural Stabilization
GO Term: Microtubule Plus-End Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Microtubule Minus-End Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Microtubule Sliding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Proteostasis
GO Term: Microtubule Severing -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Actin Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Vasculature
GO Term: Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Protein Kinase A Binding -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Mitogen-Activated Protein Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Gtpase Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Synapse
GO Term: Rho Gdp-Dissociation Inhibitor Binding -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Chiasma Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Mrna Transport -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Rrna Transport -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Trna Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Nucleic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Cell Cycle, Epigenetic
GO Term: Rna Transmembrane Transporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Regulation Of Endosome Size -> Biodomain: Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Secretion -> Biodomain: Vasculature, Immune Response, Synapse, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Secretion -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Vasculature
GO Term: Negative Regulation Of Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Regulation Of Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Transport -> Biodomain: Endolysosome, Synapse, Vasculature, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Positive Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Structural Stabilization, Autophagy, Synapse
GO Term: Negative Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Immune Response
GO Term: Nf-Kappab Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Dihydrobiopterin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Unfolded Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: 'De Novo' Cotranslational Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: 'De Novo' Post-Translational Protein Folding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Protein-Folding Chaperone Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Constitutive Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Developmental Process -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Developmental Process -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Myelination, Synapse
GO Term: Positive Regulation Of Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Immune Response, Synapse
GO Term: Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Atpase Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sugar Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hepoxilin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Rna Polymerase Ii Preinitiation Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Cellular Component Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Oxidative Stress
GO Term: Nk T Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Metal Cation:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Synapse, Epigenetic
GO Term: Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Striated Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Muscle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Glucose 6-Phosphate Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Immune Response
GO Term: Xylitol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Xylitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Nuclear Export -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Nuclear Transport -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Import Into Nucleus -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Immune Response
GO Term: Regulation Of Phosphorus Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Meiotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Vitamin Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Protein Insertion Into Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Insertion Into Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Sequestering Of Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Dioxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, DNA Repair, Mitochondrial Metabolism, Proteostasis
GO Term: Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Phosphoprotein Binding -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Autophagy, Synapse
GO Term: Positive Regulation Of Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Negative Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Mitotic Spindle Disassembly -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Meiotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Maintenance Of Location -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Synapse, Autophagy
GO Term: Regulation Of Multicellular Organismal Process -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Autophagy, Epigenetic
GO Term: Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Immune Response
GO Term: Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Mitotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Meiotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Protein Complex Oligomerization -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, APP Metabolism, DNA Repair
GO Term: Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Tetramerization -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Synapse
GO Term: Mono-Olein Transacylation Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Diolein Transacylation Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Cp2 Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Chromosome Organization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis, Synapse
GO Term: Cell Tip -> Biodomain: Synapse, Tau Homeostasis, Myelination, Structural Stabilization, APP Metabolism
GO Term: Nad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Homotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Protein Heterotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Protein Complex Assembly, Protein Biosynthesis, Synapse
GO Term: Protein Heterooligomerization -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair, Synapse
GO Term: Nuclear Pore Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Establishment Of Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Establishment Of Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Establishment Of Meiotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Establishment Of Meiotic Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, DNA Repair
GO Term: Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Division -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Cell Division -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Establishment Of Chromosome Localization -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Meiotic Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Male Meiosis Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Female Meiosis Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Meiotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, DNA Repair
GO Term: Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Negative Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, DNA Repair, Autophagy, Epigenetic
GO Term: Negative Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proprioception Involved In Equilibrioception -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Potassium Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Endolysosome, Structural Stabilization
GO Term: Muscle Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Fatz Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Serotonin Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Myelination, Apoptosis
GO Term: Epinephrine Binding -> Biodomain: Signaling, Cardiovascular, Developmental Processes, Metabolism, Lipid Metabolism
GO Term: Norepinephrine Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: Histamine Binding -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Autophagy
