Running with TEMP=0.5, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ligand-Gated Ion Channel Signaling Pathway -> Biodomain: Synapse, Endolysosome, Vasculature, Immune Response, Autophagy
GO Term: Endoplasmic Reticulum Tubular Network Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Mwp Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Growth Cone Filopodium -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Poly(A) Rna Polymerase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Basic Amino Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Proteostasis, Synapse
GO Term: Sequence-Specific Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Hepatocyte Dedifferentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: C-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Odorant -> Biodomain: Synapse, Sensory Perception, Signal Transduction, Cell Communication, Neuronal Signaling
GO Term: Sequence-Specific Double-Stranded Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Proteostasis
GO Term: Poly(U)-Specific Exoribonuclease Activity, Producing 3' Uridine Cyclic Phosphate Ends -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Response To Endothelin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Promoter-Specific Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Adaptive Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Wnt-Frizzled-Lrp5/6 Complex -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Methionyl-Initiator Methionine Trna Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Autophagy, RNA Spliceosome
GO Term: Cellular Response To Lectin -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cellular Response To Endothelin -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Acinar Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Cellular Response To Chemokine -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Apoptosis
GO Term: Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Cytoplasmic Side Of Nuclear Pore -> Biodomain: Structural Stabilization, RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair
GO Term: Fnip-Folliculin Ragc/D Gap -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Cst Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: 18S Rrna Cytidine N-Acetyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Histone H4K20Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Netrin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Beta-Catenin-Tcf Complex -> Biodomain: Signaling, Transcriptional Regulation, Developmental Biology, Cell Cycle, Structural Stabilization
GO Term: Wnt Signalosome -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Synapse
GO Term: Response To Hypobaric Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response, Autophagy
GO Term: Response To Psychosocial Stress -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, Synapse
GO Term: Sperm Head Plasma Membrane -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Ooplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Double-Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Pet Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Calcium Ion Regulated Lysosome Exocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Response To Amino Acid Starvation -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mrna N1-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, RNA Spliceosome, Proteostasis
GO Term: Mrna N6-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Oxidative Stress, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Splicing Factor Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Ubiquitin Ligase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Ubiquitin Proteasome System, DNA Repair
GO Term: Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Intramanchette Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: G-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Eosinophil Homeostasis -> Biodomain: Immune Response, Homeostasis, Apoptosis, Cell Cycle, Proteostasis
GO Term: Basophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Xenobiotic Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Establishment Of Blood-Retinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Atp Generation From Poly-Adp-D-Ribose -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Emilin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Multimerin Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Translational Initiation By Trna Modification -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna Demethylase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Dna Damage Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Metanephric S-Shaped Body Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Vasculature, Synapse
GO Term: Regulation Of Adaxial/Abaxial Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Negative Regulation Of Determination Of Dorsal Identity -> Biodomain: Developmental Process, Cell Differentiation, Regulation of Developmental Process, Cell Development, Developmental Signaling
GO Term: Positive Regulation Of Determination Of Dorsal Identity -> Biodomain: Developmental Biology, Signaling Pathways, Developmental Processes, Regulation, Cell Differentiation
GO Term: Negative Regulation Of Male Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Male Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Multicellular Organismal Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Animal Organ Morphogenesis -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Regulation Of Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Autophagy
GO Term: Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Cardiac Cell Fate Specification -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Synapse, Apoptosis
GO Term: Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Negative Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Immune Response
GO Term: Negative Regulation Of Type B Pancreatic Cell Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Type B Pancreatic Cell Development -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Mammary Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Negative Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Vasculature
GO Term: Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Vasculature, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Regulation Of Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Apoptosis, Autophagy
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Cell Motility -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Epigenetic, Autophagy
GO Term: Regulation Of Retrograde Vesicle-Mediated Transport, Golgi To Er -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Ubiquitin-Specific Protease Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Dendrite Development -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Pro-T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Negative Regulation Of Androgen Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Immune Response, Cell Cycle
GO Term: Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis, Immune Response
GO Term: Negative Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Ribosomal Large Subunit Export From Nucleus -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Positive Regulation Of Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Pancreatic A Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Proteostasis
GO Term: Positive Regulation Of Pancreatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Cell Cycle, Oxidative Stress, DNA Repair, Immune Response
GO Term: Positive Regulation Of Rrna Processing -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Immune Response
GO Term: Positive Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Feeding Behavior -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Positive Regulation Of Feeding Behavior -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Protein Activation Cascade -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Myotome Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Defecation -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Synapse Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Negative Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Nmda Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Epigenetic
GO Term: Regulation Of Ampa Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Neural Plate Anterior/Posterior Pattern Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
