Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Epigenetic
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Telomerase Holoenzyme Complex -> Biodomain: Telomerase Maintenance, DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Autophagy
GO Term: Chiasma -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Recombination Nodule -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Late Recombination Nodule -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Nucleolus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Nucleolus Organizer Region -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Rna Polymerase I Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cytoplasm -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Apoptosis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Endosome -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Peroxisomal Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peroxisomal Matrix -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Golgi Apparatus -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi Stack -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Golgi Lumen -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Golgi-Associated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Aster -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: Actomyosin Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cytosol -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Hemoglobin Complex -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Endolysosome, Autophagy, Oxidative Stress
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Ribosome -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Cell Cycle, Myelination
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Eukaryotic Translation Elongation Factor 1 Complex -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Nascent Polypeptide-Associated Complex -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Axonemal Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Muscle Myosin Complex -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Differentiation, Mechanical Properties, Tissue Morphogenesis
GO Term: Troponin Complex -> Biodomain: Muscle System, Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Muscle Thin Filament Tropomyosin -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Striated Muscle Myosin Thick Filament -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Striated Muscle Thin Filament -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Cytoplasmic Dynein Complex -> Biodomain: Intracellular Transport, Mitosis, Apoptosis, Cytoskeletal Organization, Cell Cycle
GO Term: Dynactin Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Kinesin Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Plus-End Kinesin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Microtubule Associated Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Axonemal Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Nuclear Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, RNA Spliceosome, DNA Repair
GO Term: Cytoplasmic Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Intermediate Filament -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Neurofilament -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Actin Filament -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Autophagy
GO Term: Arp2/3 Protein Complex -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Cell Cycle
GO Term: Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Cell Cycle
GO Term: Potassium:Proton Exchanging Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Sodium:Potassium-Exchanging Atpase Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Voltage-Gated Calcium Channel Complex -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Acetylcholine-Gated Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Interleukin-2 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Interleukin-5 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-6 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-13 Receptor Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Insulin Receptor Complex -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Oncostatin-M Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Caveola -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Microvillus -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Brush Border -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Clathrin-Coated Pit -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Autophagy
GO Term: Cell-Cell Junction -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Adherens Junction -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Adhesion, Cellular Signaling, Epithelial Function
GO Term: Spot Adherens Junction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Synapse
GO Term: Zonula Adherens -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Cell Cycle, Autophagy
GO Term: Fascia Adherens -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Gap Junction -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Connexin Complex -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Bicellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Focal Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Muscle Tendon Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Cilium -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Axoneme -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Synapse
GO Term: Septin Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Complex -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ia -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ib -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: 6-Phosphofructokinase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Acetolactate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Camp-Dependent Protein Kinase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Autophagy, Lipid Metabolism
GO Term: Caax-Protein Geranylgeranyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Calcium- And Calmodulin-Dependent Protein Kinase Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Calcineurin Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Synapse, Structural Stabilization
GO Term: Protein Kinase Ck2 Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Dna-Dependent Protein Kinase-Dna Ligase 4 Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Glycine Cleavage Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphorylase Kinase Complex -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Protein Farnesyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Rab-Protein Geranylgeranyltransferase Complex -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Ribonucleoside-Diphosphate Reductase Complex -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Carbohydrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Polysaccharide Metabolic Process -> Biodomain: Structural Stabilization, Autophagy, Immune Response, Mitochondrial Metabolism, Vasculature
GO Term: Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Glycogen Catabolic Process -> Biodomain: Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Starch Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Disaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Sucrose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Sucrose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lactose Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Lactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trehalose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trehalose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Monosaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Xylulose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Xylulose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Fructose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fructose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructose 2,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Fucose Metabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Udp-Alpha-D-Glucose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Galactose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Mannose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: D-Ribose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: 5-Phosphoribose 1-Diphosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Inositol Metabolic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Synapse, Endolysosome
GO Term: Inositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Glycosaminoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, APP Metabolism
GO Term: Glycosaminoglycan Catabolic Process -> Biodomain: Glycogen Metabolism, Endolysosome, Autophagy, Structural Stabilization, Immune Response
GO Term: Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Chitin Metabolic Process -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Chitin Catabolic Process -> Biodomain: Endolysosome, Autophagy, Immune Response, Oxidative Stress, Proteostasis
GO Term: Amino Sugar Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Glucosamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Glucosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: N-Acetylglucosamine Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Immune Response, Structural Stabilization
GO Term: N-Acetylglucosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: N-Acetylglucosamine Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Udp-N-Acetylglucosamine Metabolic Process -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, APP Metabolism, Endolysosome
