Running with TEMP=0.5, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cellular Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Cellular Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, DNA Repair, Endolysosome
GO Term: Negative Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Positive Regulation Of Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Hyaluranon Cable Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Regulation Of Nodal Signaling Pathway -> Biodomain: Developmental Signaling, Cell Differentiation, TGFβ Signaling, Embryogenesis, Cell Fate Specification
GO Term: Negative Regulation Of Nodal Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, Cell Cycle
GO Term: Extracellular Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress, DNA Repair
GO Term: Negative Regulation Of Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Synapse
GO Term: Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Extracellular Matrix Organization, Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Lipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Hormone, Regulation, Fluid Homeostasis, Signaling
GO Term: Negative Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Synapse, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Schwann Cell Migration -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Synapse
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Bone Trabecula Formation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Glial Cell-Derived Neurotrophic Factor Production -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Negative Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Vasculature, Endolysosome
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Collecting Duct Development -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Nephron Tubule Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Amyloid-Beta Clearance -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Single-Species Biofilm Formation In Or On Host Organism -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Kit Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Phenotypic Switching -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, RNA Spliceosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Negative Regulation Of Rna-Dependent Rna Polymerase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Post-Transcriptional Gene Silencing By Regulatory Ncrna -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Palmitic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Immune Response, Epigenetic
GO Term: Positive Regulation Of Monocyte Aggregation -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Uterine Smooth Muscle Relaxation -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Negative Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Structural Stabilization
GO Term: (R)-Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Doxorubicin Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Mitochondrial Rna Modification -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Glycine Import Across Plasma Membrane -> Biodomain: Synapse, Autophagy, Epigenetic, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Fermentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Apoptosis, Oxidative Stress
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Dextrin Catabolic Process -> Biodomain: Carbohydrate Metabolism, Glycan Metabolism, Mitochondrial Metabolism, Macromolecule Catabolism, Metabolic Process
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Sarcosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Glycine Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Sarcosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Myelination, Oxidative Stress
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Gentamycin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Insulin Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Insulin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Immune Response
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Immune Response
GO Term: Naphthalene Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Synapse, Autophagy
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Synapse
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Epigenetic
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Viral Processes, Host-Pathogen Interaction, Intracellular Trafficking, Regulation of Transport, Cellular Processes
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
