Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Udp-Glucose Catabolic Process -> Biodomain: Carbohydrate Metabolism, Regulatory Processes, Energy Metabolism, Glycan Metabolism, Metabolite Transport
GO Term: Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Positive Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, APP Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Negative Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Phosphatase Activity -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Synapse, Proteostasis
GO Term: Negative Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Macrophage Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Cell Cycle
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Ubiquitin Recycling -> Biodomain: Ubiquitin-Proteasome System, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Ubiquitin Homeostasis, Proteostasis, Proteasome, Autophagy, Endolysosome
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Structural Stabilization, Epigenetic
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Immune Response
GO Term: Endomembrane System -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Synapse, Proteostasis
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Oligodendrocyte Development -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Microglia Development -> Biodomain: Immune Response, Myelination, Synapse, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Structural Stabilization, Synapse, Immune Response
GO Term: Schwann Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Lipid Metabolism, Structural Stabilization, DNA Repair
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Regulation Of Gliogenesis -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Myelination, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Neuroblast Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Notochord Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Neural Crest Formation -> Biodomain: Epigenetic, Cell Cycle, Myelination, Immune Response, Vasculature
GO Term: Mesenchymal Cell Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Neural Crest Cell Development -> Biodomain: Cell Cycle, Epigenetic, Myelination, Vasculature, Structural Stabilization
GO Term: Neural Crest Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Myelination, Structural Stabilization, Vasculature
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Myelination, Synapse, Structural Stabilization
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Myelination, Vasculature, RNA Spliceosome
GO Term: Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Proteostasis
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Schwann Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Neurotransmission, Neuronal Activity, Proteostasis, Cell Signaling
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, APP Metabolism, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Neurobiology, Vasculature, Endolysosome, Oxidative Stress
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Postsynaptic Density -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Amine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Intercalated Disc -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: C Zone -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Synapse
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Muscle System, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Terminal Cisterna -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Terminal Cisterna Lumen -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Smooth Muscle Adaptation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Response To Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Muscle System, Gastrointestinal System, Cellular Processes, Vasculature, Structural Stabilization
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Autophagy, Vasculature
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Muscle System, Gastrointestinal System, Cellular Contractility, Muscle Contraction, Tissue Morphogenesis
GO Term: Response To Muscle Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Inactivity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Myelination, Proteostasis, Structural Stabilization
GO Term: Skeletal Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Response To Muscle Inactivity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Epigenetic, Lipid Metabolism
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Striated Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Muscle Hypertrophy -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Myotube Differentiation -> Biodomain: Muscle System, Cell Cycle, Structural Stabilization, Proteostasis, Synapse
GO Term: Myotube Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Proteostasis
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, APP Metabolism, Synapse
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Vasculature, Immune Response
GO Term: Glucuronosyltransferase Activity -> Biodomain: Detoxification, Drug Metabolism, Lipid Metabolism, Xenobiotic Metabolism, Small Molecule Metabolism
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Coreceptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Protein-Disulfide Reductase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutathione Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Beta3-Adrenergic Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
