Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Immune Response, Apoptosis
GO Term: U2 Snrnp -> Biodomain: APP Metabolism, RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, APP Metabolism
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Epigenetic, DNA Repair
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Chromosome -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Chiasma -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Late Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, RNA Spliceosome
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Nucleolus -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Nucleolus Organizer Region -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, DNA Repair
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Rna Polymerase I Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Cytoplasm -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Endosome -> Biodomain: Endolysosome, APP Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Vacuole -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Immune Response
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Tau Homeostasis, APP Metabolism
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Peroxisomal Matrix -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress, Immune Response
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rough Endoplasmic Reticulum -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Golgi Apparatus -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Golgi Stack -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Lumen -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Lipid Metabolism
GO Term: Golgi Medial Cisterna -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Golgi-Associated Vesicle -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Synapse
GO Term: Cis-Golgi Network -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Immune Response
GO Term: Centrosome -> Biodomain: Tau Homeostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Microtubule Organizing Center -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Autophagy, Proteostasis
GO Term: Aster -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Actomyosin Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Polar Microtubule -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Apoptosis, Synapse
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Tau Homeostasis
GO Term: Cytosol -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Hemoglobin Complex -> Biodomain: Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Ribosome -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Synapse
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Immune Response
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, APP Metabolism, Tau Homeostasis
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Immune Response
GO Term: Mrna Cleavage Factor Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, APP Metabolism, DNA Repair
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Mitochondrial Metabolism
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.1/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.1/runtime_log.csv
