Running with TEMP=0.5, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Glycosphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Ether Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Glycerolipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Glyoxylate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphatidylinositol Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Isopentenyl Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Structural Stabilization, Autophagy
GO Term: L-Methylmalonyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Nicotinamide Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: S-Adenosylhomocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: S-Adenosylmethioninamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: S-Adenosylmethionine Metabolic Process -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Protoporphyrinogen Ix Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Sphinganine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Sphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Apoptosis, Autophagy, Oxidative Stress
GO Term: Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Ceramide Catabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Sphingoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Sphingoid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: S-Methyl-5-Thioribose-1-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Xylosylprotein 4-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: D-Xylulose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Photoreceptor Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Synapse, Proteostasis, Tau Homeostasis
GO Term: Dosage Compensation Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Histamine N-Methyltransferase Activity -> Biodomain: Immune Response, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: U4/U6 X U5 Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Saliva Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Development Of Secondary Female Sexual Characteristics -> Biodomain: Hormone Signaling, Development, Cell Differentiation, Tissue Morphogenesis, Reproductive System
GO Term: Development Of Secondary Male Sexual Characteristics -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Apoptosis, Immune Response
GO Term: Development Of Primary Female Sexual Characteristics -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, DNA Repair
GO Term: Development Of Primary Male Sexual Characteristics -> Biodomain: Reproduction, Cellular Differentiation, Morphogenesis, Hormone Metabolism, Developmental Biology
GO Term: Retinal Rod Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Retinal Cone Cell Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: L-Malate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Alpha-L-Arabinofuranosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Methylthioribulose 1-Phosphate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Long-Chain-Alcohol Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Positive Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Intercellular Canaliculus -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Metal Binding and Homeostasis, Synapse
GO Term: Polyamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Host-Mediated Suppression Of Symbiont Invasion -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Centrosome Cycle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Lysosomal Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Xenobiotic Export From Cell -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Lens Placode Formation Involved In Camera-Type Eye Formation -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Regulation Of Organ Growth -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Organ Growth -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Organ Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic, Autophagy
GO Term: Sphingolipid Floppase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Apoptosis, Myelination
GO Term: Sphingolipid Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Sphingolipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Gamma-Delta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Autophagy
GO Term: Positive Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Lymphocyte Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Lymphocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Tetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Tetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Folic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Folic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Digestive Hormone Activity -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Male Sex Differentiation -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, Lipid Metabolism, Structural Stabilization
GO Term: Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Antibiotic -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Ddt -> Biodomain: Oxidative Stress, Apoptosis, Endolysosome, Proteostasis, Immune Response
GO Term: Response To Pyrethroid -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Cadmium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy, Proteostasis
GO Term: Intracellular Canaliculus -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Slik (Saga-Like) Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipopolysaccharide Receptor Complex -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Decidualization -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Natural Killer Cell Lectin-Like Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Cdp Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Gdp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Gdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Borate Transport -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Active Borate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Muscle Cell Cellular Homeostasis -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Acid Secretion -> Biodomain: Endolysosome, Autophagy, Immune Response, Vasculature, Apoptosis
GO Term: Symbiont Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Citric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Lactic Acid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Oxalic Acid Secretion -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Proteostasis,Epigenetic,Autophagy,Endolysosome,Immune Response
GO Term: Viral Exocytosis -> Biodomain: Endolysosome, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Viral Budding -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Viral Budding From Plasma Membrane -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Protein Autophosphorylation -> Biodomain: Proteostasis, Signal Transduction, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Apoptosis, Autophagy
GO Term: Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Synapse
GO Term: Host Cell Surface Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Virion Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Histone Deacetylase Inhibitor Activity -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, Proteostasis
GO Term: Receptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Coreceptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Chemokine Receptor Antagonist Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Nucleocytoplasmic Transport -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nucleocytoplasmic Transport -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Oxidative Stress
GO Term: Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Lipid Phosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Carbohydrate Phosphorylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic
GO Term: Glycolipid Transport -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Proteostasis
GO Term: Phospholipid Dephosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Hydroxyapatite Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Endolysosome, Cell Cycle, Apoptosis
GO Term: Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Immune Response
GO Term: Negative Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Immune Response
GO Term: Phosphatidylinositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Terpenoid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cadmium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, DNA Repair
GO Term: Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Quinolinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ephrin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Regulation Of Saliva Secretion -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Saliva Secretion -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Vasculature, Immune Response
GO Term: Hormone Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Endocrine Signaling, Reproductive System, Hormone Regulation, Cell Signaling, Developmental Processes
GO Term: Regulation Of Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Follicle-Stimulating Hormone Secretion -> Biodomain: Proteostasis, Cell Cycle, Vasculature, Epigenetic, Immune Response
GO Term: Regulation Of Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Immune Response
GO Term: Positive Regulation Of Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Hormone Secretion -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Endolysosome, Synapse
GO Term: Positive Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Nucleoside Triphosphate Adenylate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Tetrahydrofolylpolyglutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Tetrahydrofolylpolyglutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Secretion -> Biodomain: Synapse, Immune Response, Vasculature, Myelination, Lipid Metabolism
GO Term: Calcium Oxalate Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Structural Stabilization, Immune Response
GO Term: Tetrapyrrole Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Metal Chelating Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Acyltransferase Activity, Acyl Groups Converted Into Alkyl On Transfer -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Myelination, Autophagy
GO Term: Transition Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Transition Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Alpha-(1->3)-Fucosyltransferase Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Alpha-(1->6)-Fucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Autophagy
GO Term: Peptide-O-Fucosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Autophagy
GO Term: Er Retention Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Pore Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Pore Complex Assembly -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: 1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Cell Growth and Proliferation, Vasculature, Immune Response
GO Term: 1-Phosphatidylinositol-3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: 2'-Deoxyadenosine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Endolysosome, Epigenetic
GO Term: Nucleoside Monophosphate Phosphorylation -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome
GO Term: Carboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
