Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Learning -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Memory -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Short-Term Memory -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Long-Term Memory -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mating Behavior -> Biodomain: Cell Cycle, Epigenetic, Synapse, Lipid Metabolism, Immune Response
GO Term: Mating -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Copulation -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Vasculature, Immune Response
GO Term: Negative Regulation Of Female Receptivity -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle
GO Term: Rhythmic Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Ultradian Rhythm -> Biodomain: Circadian Rhythm, Metabolism, Cell Cycle, Epigenetic, Proteostasis
GO Term: Grooming Behavior -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Locomotory Behavior -> Biodomain: Mitochondrial Metabolism, Synapse, Myelination, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Adult Walking Behavior -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Myelination, Lipid Metabolism
GO Term: Jump Response -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Feeding Behavior -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Cell Cycle, Epigenetic
GO Term: Visual Behavior -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Structural Stabilization, Epigenetic
GO Term: Optokinetic Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Chemosensory Behavior -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Epigenetic
GO Term: Mechanosensory Behavior -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Chemokine Activity -> Biodomain: Immune Response, Receptor Binding, Cytokine Activity, Cell Adhesion, Oxidative Stress
GO Term: Beta-Catenin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Blood Circulation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Regulation Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Microtubule Binding -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: G Protein-Coupled Photoreceptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Transcription Elongation Factor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Cyclin/Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Monocarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trna Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic
GO Term: High-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Immune Response
GO Term: Cell Recognition -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Neuron Recognition -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Synaptic Target Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Motor Neuron Axon Guidance -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Myelination
GO Term: Axon Guidance Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Enzyme Activator Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Calcium Sensitive Guanylate Cyclase Activator Activity -> Biodomain: Signal Transduction, Ion Homeostasis, Neurotransmitter Systems, Vasculature, Proteostasis
GO Term: Male Courtship Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Lipid Metabolism, Proteostasis
GO Term: Female Courtship Behavior -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Organ Boundary Specification -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Autophagy
GO Term: Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Eye Pigment Granule Organization -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Chitin Binding -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Toll Signaling Pathway -> Biodomain: Immune Response, Inflammation, Receptor Signaling, Cell Signaling, Innate Immunity
GO Term: Regulation Of Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Autophagy
GO Term: Establishment Of Blood-Nerve Barrier -> Biodomain: Vasculature, Structural Stabilization, Myelination, Immune Response, Synapse
GO Term: Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Extracellularly Glutamate-Gated Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ornithine Decarboxylase Inhibitor Activity -> Biodomain: Cell Cycle, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Guanylate Cyclase Complex, Soluble -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Voltage-Gated Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Mesodermal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Translation Termination Factor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: N-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Phosphoric Diester Hydrolase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Growth Factor Activity -> Biodomain: Cell Cycle, Vasculature, Synapse, Immune Response, Mitochondrial Metabolism
GO Term: Axo-Dendritic Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Anterograde Axonal Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Retrograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Spectrin -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Cytoskeletal Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Tau Homeostasis
GO Term: Cytoskeletal Anchor Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis, Apoptosis
GO Term: Atp-Dependent Activity, Acting On Dna -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: 5S Rrna Binding -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Alcohol Dehydrogenase (Nadp+) Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Galactoside 2-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Udp-Glucose:Hexose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: N-Acetyllactosaminide Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Carbohydrate Metabolism, Glycan Metabolism, Enzyme Activity, Cell Surface
GO Term: Alpha-Methylacyl-Coa Racemase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nicotinamide N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Peptide-Methionine (S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Sarcosine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Prostaglandin-I Synthase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Sphinganine-1-Phosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: N-Acetyllactosaminide Alpha-2,3-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Synapse, Endolysosome
GO Term: Thiopurine S-Methyltransferase Activity -> Biodomain: Epigenetic, Immune Response, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Ceramide Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Endolysosome, Autophagy
GO Term: Quinol-Cytochrome-C Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Cholesterol 7-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: 4-Alpha-Hydroxytetrahydrobiopterin Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Apoptosis, Autophagy
GO Term: Acetylesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Quercetin 2,3-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Primary Methylamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Proteostasis
GO Term: Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Translation Factor Activity, Rna Binding -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Nadh Dehydrogenase (Ubiquinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Energy Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Synapse, Oxidative Stress
GO Term: Nuclear Localization Sequence Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Proteostasis, Synapse, APP Metabolism, Cell Cycle
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Biological Process -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Hedgehog Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Apoptosis, Epigenetic
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: S-Methyltransferase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Immune Response
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Trna Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, RNA Spliceosome
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Adenylate Cyclase Binding -> Biodomain: Signal Transduction, GPCR Signaling, Metabolism, Cell Adhesion, Ion Transport
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Trna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Epigenetic
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Heparin Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, APP Metabolism
GO Term: Steroid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Estrogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis, Epigenetic
GO Term: Spermine Metabolic Process -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Opsonization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Metalloexopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Immune Response
GO Term: Metallopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Apoptosis, Autophagy, Immune Response
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Endolysosome
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: 3'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Ion Channel, Membrane Transport, Calcium Signaling, Synapse, Structural Stabilization
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Immune Response, Epigenetic, DNA Repair, Vasculature
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Immune Response
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Immune Response, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, RNA Spliceosome
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Caspase Complex -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Integrin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Associative Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Apoptosis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Autophagy, APP Metabolism
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Synapse, Structural Stabilization
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Synapse, Vasculature
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Proteostasis
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
