Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: T-Helper 17 Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Memory T Cell Activation -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: T-Helper 1 Cell Activation -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: T-Helper 2 Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Response To Nitrogen Dioxide -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 2 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 12 Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 7 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Macrophage Migration Inhibitory Factor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Intraciliary Anterograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Intraciliary Retrograde Transport -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Interleukin-12-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-15-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Common Myeloid Progenitor Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Lysophosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Response To Hepatocyte Growth Factor -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: S-Nitrosoglutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Dinitrosyl-Iron Complex Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Nitric Oxide Storage -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Intraciliary Transport Involved In Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Autophagy
GO Term: Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Cell Cycle
GO Term: Myelin Sheath Adaxonal Region -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Cell Cycle
GO Term: Protein Localization To Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism
GO Term: Regulation Of Lysosomal Lumen Ph -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Lysosomal Lumen Ph Elevation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: B Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Oxidative Stress
GO Term: Cardiolipin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Chemokine (C-C Motif) Ligand 19 Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 21 Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Mesangial Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Cell Adhesion, Extracellular Matrix Organization, Vasculature, Kidney Function
GO Term: Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Autophagy, Apoptosis
GO Term: Interleukin-13-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Mature Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Epigenetic
GO Term: Cell Migration Involved In Kidney Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Synapse
GO Term: Cell Migration Involved In Metanephros Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration By Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Alkenal Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Ureter Maturation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Deubiquitinase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Adrenal Cortex Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle, Vasculature
GO Term: Adrenal Cortex Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Egg Coat Formation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Structural Constituent Of Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, APP Metabolism
GO Term: Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Regulation Of Urine Volume -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Urine Volume -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Urine Volume -> Biodomain: Vasculature, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Renal Sodium Excretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Modulation Of Process Of Another Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Gene Conversion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Immune Response, Apoptosis
GO Term: Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Growing Cell Tip -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Lipid Metabolism
GO Term: New Growing Cell Tip -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Cloaca Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Epigenetic
GO Term: Photoreceptor Cell Outer Segment Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Oviduct Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Uterine Epithelium Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Nephric Duct Elongation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Krueppel-Associated Box Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Chromosome Passenger Complex Localization To Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Eosinophil Fate Commitment -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Cell Cycle, Endolysosome
GO Term: Megakaryocyte Development -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Seh1-Associated Complex -> Biodomain: Proteostasis, Autophagy, Nutrient Sensing, Mitochondrial Metabolism, Vesicle Trafficking
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Site Of Double-Strand Break -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Ditp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Cellular Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Autophagy, Synapse
GO Term: Alphav-Beta3 Integrin-Pkcalpha Complex -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Alphav-Beta3 Integrin-Igf-1-Igf1R Complex -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Alphav-Beta3 Integrin-Hmgb1 Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, Vasculature
GO Term: Ciliary Transition Zone -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Ditp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Protein K11-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Cell Cycle
GO Term: Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Lactate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Epigenetic, Vasculature
GO Term: Death Effector Domain Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Nail Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Plasma Membrane Lactate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Synapse, Oxidative Stress
GO Term: Embryonic Nail Plate Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Amacrine Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Enteroendocrine Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Parathyroid Hormone Secretion -> Biodomain: Vasculature, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Response To Isolation Stress -> Biodomain: Oxidative Stress, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Response To Immobilization Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Ascending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Descending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Dorsal Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Autophagy, Cell Cycle
GO Term: Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Ascending Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Dorsal Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Desmosome Disassembly -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Foramen Ovale Closure -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mrna 3'-Utr Au-Rich Region Binding -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Rna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rrna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Aldosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress, Epigenetic
GO Term: Corticosterone Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Mitochondrial Ncrna Surveillance -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Mitochondrial Mrna Surveillance -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Response To Interleukin-13 -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cellular Response To Interleukin-13 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Copi-Coated Vesicle Budding -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cardiolipin Acyl-Chain Remodeling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Topologically Incorrect Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Peptidyl-Threonine Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Tau Homeostasis, Epigenetic
GO Term: Aggrephagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Transcription Factor Ap-1 Complex -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Apoptosis, Immune Response
GO Term: Histone H2Axs139 Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cellular Response To Trichostatin A -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Proteostasis, Cell Cycle
GO Term: Senescence-Associated Heterochromatin Focus -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Tendon Development -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Tendon Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Deltoid Tuberosity Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Response To Muscle Stretch -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Detection Of Muscle Stretch -> Biodomain: Sensory Perception, Cell Signaling, Muscle Function, Neuron Function, Structural Stabilization
GO Term: Tetrahydrofolate Interconversion -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pre-Mrna Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Gaf Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Response To Macrophage Colony-Stimulating Factor -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein-Glutamine N-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cellular Response To Interleukin-3 -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Response To Erythropoietin -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cellular Response To Erythropoietin -> Biodomain: Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Vasculature, Epigenetic
GO Term: Endolysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endolysosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Endolysosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Embryonic Skeletal Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Protein C Inhibitor-Tmprss7 Complex -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Protein C Inhibitor-Tmprss11E Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Endolysosome
GO Term: Protein C Inhibitor-Plat Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Protein C Inhibitor-Plau Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Thrombin Complex -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Immune Response, Apoptosis
GO Term: Protein C Inhibitor-Klk3 Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Endolysosome
GO Term: Protein C Inhibitor-Plasma Kallikrein Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Neural Crest Cell Delamination -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Mediator Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Osteoclast Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Mks Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Long-Chain Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Long-Chain Fatty Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Protein Demalonylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Peptidyl-Lysine Demalonylation -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Metabolism, Oxidative Stress
GO Term: Protein Desuccinylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Lysine Desuccinylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Glomerular Endothelium Fenestra -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Protein-Malonyllysine Demalonylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Protein-Succinyllysine Desuccinylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Slit Diaphragm -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Filtration Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Slit Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Ciliary Basal Body -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Fucosylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Protein O-Linked Fucosylation -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response
GO Term: N-Glycan Fucosylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Ligamentous Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Gdp-Fucose Import Into Golgi Lumen -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Structural Stabilization
GO Term: D-Serine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylinositol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Small Molecule Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Leukotriene B4 Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Leukotriene B4 Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Endolysosome
GO Term: Peroxisome Membrane Class-1 Targeting Sequence Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Alpha-Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Very Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Medium-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Medium-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
