Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Cellular Ph -> Biodomain: Endolysosome, Autophagy, Immune Response, Synapse, Mitochondrial Metabolism
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Secretory Granule Membrane -> Biodomain: Vesicle Trafficking, Endolysosome, Proteostasis, Synapse, Structural Stabilization
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Structural Stabilization, Lipid Metabolism, Synapse, Autophagy
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Axolemma -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Proteostasis
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: 90S Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: Ribosome Biogenesis, Protein Synthesis Machinery, RNA Processing, Nucleolus, Cellular Assembly and Organization
GO Term: Noc1P-Noc2P Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Noc2P-Noc3P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Epigenetic, Autophagy
GO Term: Noc4P-Nop14P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Gtpase Regulator Activity -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Structural Stabilization, Tau Homeostasis, Autophagy, Endolysosome, Synapse
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Autophagy
GO Term: P Granule Organization -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Ovulation -> Biodomain: Reproductive System, Hormone Signaling, Cell Cycle, Apoptosis, Immune Response
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Signal Transduction, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Actin Filament Length -> Biodomain: Structural Stabilization, Endolysosome, Immune Response, Cell Cycle, Synapse
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Proteostasis
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Autosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Prostate Gland Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Lipid Metabolism
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Immune Response
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Synapse
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Structural Stabilization
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Thyroid Gland Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Mammary Gland Development -> Biodomain: Lipid Metabolism, Cell Cycle, Vasculature, Structural Stabilization, Epigenetic
GO Term: Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Vcb Complex -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Mitotic Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Meiotic Cohesin Complex -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Replisome -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Apolipoprotein B Mrna Editing Enzyme Complex -> Biodomain: Lipid Metabolism, RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Checkpoint Clamp Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Hops Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Calcium-Dependent Atpase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Vasculature, Apoptosis
GO Term: Forebrain Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Vasculature
GO Term: Midbrain Development -> Biodomain: Neurogenesis, Neuronal Signaling, Neural Development, Developmental Biology, Cell Differentiation
GO Term: Hindbrain Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Notochord Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Retromer Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Retromer, Tubulation Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Retromer, Cargo-Selective Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Olfactory Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Synapse
GO Term: Tpr Domain Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Paranodal Junction Assembly -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Smc5-Smc6 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Otic Vesicle Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Midbrain-Hindbrain Boundary Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Signal Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Establishment Or Maintenance Of Actin Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Endolysosome
GO Term: Establishment Or Maintenance Of Microtubule Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Astral Microtubule Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Astral Microtubule Nucleation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Potassium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Glutamyl-Trna(Gln) Amidotransferase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Tat Protein Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Receptor Tyrosine Kinase Binding -> Biodomain: Cell Cycle, Vasculature, Synapse, Immune Response, Apoptosis
GO Term: Thiamine Pyrophosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Thiamine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Thiamine Pyrophosphate Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Taurine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cortical Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Mismatched Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Kininogen Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Intraciliary Transport Particle -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Intraciliary Transport Particle A -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Intraciliary Transport Particle B -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Caffeine -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Potassium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Filamin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Proteostasis
GO Term: Iswi-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Ino80 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Extracellular Matrix -> Biodomain: Structural Stabilization, Vasculature, Synapse, Lipid Metabolism, Proteostasis
GO Term: Troponin I Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Troponin T Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Pancreas Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Exocrine Pancreas Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Endocrine Pancreas Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Vasculature
GO Term: Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Proteostasis
GO Term: Nuclear Migration Along Microfilament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Microtubule Organizing Center Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Myosin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Myosin Ii Filament Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Dense Core Granule -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Regulatory Ncrna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Regulatory Ncrna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Primary Mirna Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Hair Follicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Cysteine Desulfurase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Heat Shock Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Cholesterol 26-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Vasculature
GO Term: Post-Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Immune Response
GO Term: Histone H3K14 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Nuclear Pore Outer Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Bloc-1 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Bloc-2 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Bloc-3 Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Independent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Platelet Dense Granule Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Platelet Dense Granule Lumen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Organelle Membrane -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Platelet Alpha Granule -> Biodomain: Proteostasis, Immune Response, Endolysosome, Vasculature, Structural Stabilization
GO Term: Platelet Alpha Granule Membrane -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Platelet Alpha Granule Lumen -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Platelet Dense Tubular Network -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Apoptosis
GO Term: Platelet Dense Tubular Network Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Autophagy
GO Term: Animal Organ Regeneration -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Autophagy
GO Term: Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Axon Regeneration -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Dendrite Regeneration -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Septin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Lipid Metabolism
GO Term: Septin Ring Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Positive Regulation Of Microtubule Depolymerization -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Trna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Snrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
