Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Respiratory Gaseous Exchange -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Liver Biology, Cellular Regulation & Homeostasis, Cell Biology, Organismal Processes
GO Term: Positive Regulation Of Hepatocyte Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Positive Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Nitric-Oxide Synthase Complex -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Arachidonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Vasculature, Oxidative Stress
GO Term: Arachidonate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Apoptosis
GO Term: Monounsaturated Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Monounsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Glial Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Glial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Vasculature
GO Term: Positive Regulation Of Glial Cell Migration -> Biodomain: Immune Response, Myelination, Structural Stabilization, Synapse, Vasculature
GO Term: Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Enterobactin Binding -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Intestinal D-Glucose Absorption -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Iron Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Eating Behavior -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Epigenetic
GO Term: Negative Regulation Of Eating Behavior -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Eating Behavior -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Immune Response, Autophagy
GO Term: Negative Regulation Of Sebum Secreting Cell Proliferation -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Oxidative Stress
GO Term: Response To Aroclor 1254 -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Cellular Response To Serotonin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Cellular Response To Thyroglobulin Triiodothyronine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of G Protein-Coupled Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Negative Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Collagen Fibril Organization -> Biodomain: Structural Stabilization, Proteostasis, Extracellular Matrix Organization, Vasculature, Cell Cycle
GO Term: Negative Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Autophagy
GO Term: Positive Regulation Of T-Snare Clustering -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Epithelial Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Iron Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Response To Aldosterone -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Cellular Response To Aldosterone -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: S-Adenosyl-L-Methionine Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Regeneration, Structural Stabilization, Vasculature, Immune Response
GO Term: Negative Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Locomotor Rhythm -> Biodomain: Epigenetic,Synapse,Autophagy,Oxidative Stress,Unknown
GO Term: Regulation Of Monoatomic Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature, Apoptosis
GO Term: Negative Regulation Of Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Cation Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Presynaptic Active Zone Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Apoptosis
GO Term: Pyrimidine Nucleobase Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Peptidase Inhibitor Complex -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Immune Response, Autophagy
GO Term: Negative Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Acadesine -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Convergent Extension Involved In Gastrulation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Protein Localization To Microvillus -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Protein Localization To Ciliary Inversin Compartment -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Axon Cytoplasm -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Autophagy
GO Term: Cellular Response To Vasopressin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Phosphatidylethanolamine Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Vasculature
GO Term: Negative Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Microglial Cell Migration -> Biodomain: Immune Response, Oxidative Stress, Synapse, Apoptosis, Vasculature
GO Term: Cellular Response To Nonylphenol -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Positive Regulation Of Microglial Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Dn2 Thymocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Dn3 Thymocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Dn4 Thymocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Axonemal Central Apparatus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Dna Synthesis Involved In Uv-Damage Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Bleb Assembly -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Metabolic Processes, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Adipose Tissue Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Membrane Depolarization -> Biodomain: Synapse, Vasculature, Myelination, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Transformation Of Host Cell By Virus -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Regulation Of Vascular Associated Smooth Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Iodide Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Membrane Protein Proteolysis Involved In Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Positive Regulation Of Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Pericyte Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Vcp-Npl4-Ufd1 Aaa Atpase Complex Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Polynucleotide Adenylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Regulation Of Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Zinc Ion Import Into Golgi Lumen -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Basement Membrane Assembly Involved In Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Negative Regulation Of Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Torc1 Signaling -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Pyroptosome Complex Assembly -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Proline Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: L-Alanine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Tricellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Bat3 Complex Binding -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Autophagy, Immune Response
GO Term: Negative Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Mitotic Dna Damage Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Erad Pathway -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Erad Pathway -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Transcytosis -> Biodomain: Vasculature, Endolysosome, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Transcytosis -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Gastro-Intestinal System Smooth Muscle Contraction -> Biodomain: Vasculature, Synapse, Proteostasis, Structural Stabilization, Immune Response
GO Term: Response To Desipramine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Methamphetamine Hydrochloride -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Forskolin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Forskolin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Protein Localization To Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Error-Prone Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress, Unknown
GO Term: Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Dopaminergic Neuron Differentiation -> Biodomain: Mitochondrial Metabolism, Epigenetic, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Colon Smooth Muscle Contraction -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Gastric Mucosal Blood Circulation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Small Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Positive Regulation Of Protein Catabolic Process In The Vacuole -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Telomere Capping -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Protein Localization To Actin Cortical Patch -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Cell Cycle, Autophagy
GO Term: Response To Kainic Acid -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Tau Homeostasis
GO Term: Regulation Of Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: Positive Regulation Of Protein Localization To Cell Periphery -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Endoplasmic Reticulum Mannose Trimming -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Golgi Apparatus Mannose Trimming -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Unknown
GO Term: Mannose Trimming Involved In Glycoprotein Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Response To Sodium Phosphate -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cellular Response To Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Response To L-Phenylalanine Derivative -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Proteostasis
GO Term: Rod Bipolar Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Cone Retinal Bipolar Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Positive Regulation Of Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Neuromuscular Junction Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Heparan Sulfate Binding -> Biodomain: Vasculature, Synapse, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Response To Thyroid Stimulating Hormone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Cellular Response To Thyroid Stimulating Hormone -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Formaldehyde -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Melatonin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Unknown
GO Term: Positive Regulation Of Secretory Granule Organization -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Endolysosome
GO Term: Positive Regulation Of Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Response To D-Galactosamine -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Endolysosome
GO Term: Dehydrodolichyl Diphosphate Synthase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Gtp Binding -> Biodomain: Cell Cycle, Autophagy, Immune Response, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Vasculature, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Immune Response, Autophagy
GO Term: Positive Regulation Of Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Negative Regulation Of Thyroid Gland Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Establishment Of Sertoli Cell Barrier -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Folate Import Across Plasma Membrane -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
