Running with TEMP=0.1, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Mwp Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Growth Cone Filopodium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Poly(A) Rna Polymerase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Basic Amino Acid Transmembrane Transport -> Biodomain: Endolysosome, Autophagy, Vasculature, Immune Response, Proteostasis
GO Term: Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Sequence-Specific Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Myelination, Immune Response
GO Term: Hepatocyte Dedifferentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Structural Stabilization
GO Term: C-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Cellular Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Response To Odorant -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Sequence-Specific Double-Stranded Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Poly(U)-Specific Exoribonuclease Activity, Producing 3' Uridine Cyclic Phosphate Ends -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Endothelin -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Cell Cycle, Immune Response
GO Term: Promoter-Specific Chromatin Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Adaptive Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Wnt-Frizzled-Lrp5/6 Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Synapse, Lipid Metabolism
GO Term: Methionyl-Initiator Methionine Trna Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Cellular Response To Lectin -> Biodomain: Immune Response, Signal Transduction, Glycoprotein Metabolism, Cell Adhesion, Endolysosome
GO Term: Cellular Response To Endothelin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Acinar Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Chemokine -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Cytoplasmic Side Of Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Fnip-Folliculin Ragc/D Gap -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cst Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: 18S Rrna Cytidine N-Acetyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Histone H4K20Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Netrin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Vasculature
GO Term: Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Beta-Catenin-Tcf Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Wnt Signalosome -> Biodomain: Proteostasis, Cell Cycle, Endolysosome, Autophagy, Epigenetic
GO Term: Response To Hypobaric Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy, Apoptosis
GO Term: Response To Psychosocial Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: Sperm Head Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Ooplasm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Double-Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Pet Complex -> Biodomain: Epigenetic, DNA Repair, Immune Response, RNA Spliceosome, Proteostasis
GO Term: Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Calcium Ion Regulated Lysosome Exocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Amino Acid Starvation -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mrna N1-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Oxidative Stress, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Mrna N6-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, RNA Spliceosome, Autophagy
GO Term: Splicing Factor Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Ubiquitin Ligase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Intramanchette Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: G-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Eosinophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Basophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Xenobiotic Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Establishment Of Blood-Retinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Atp Generation From Poly-Adp-D-Ribose -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Emilin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Multimerin Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Translational Initiation By Trna Modification -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna Demethylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Metanephric S-Shaped Body Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Negative Regulation Of Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Immune Response
GO Term: Negative Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Vasculature
GO Term: Positive Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Endolysosome
GO Term: Regulation Of Adaxial/Abaxial Pattern Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Autophagy
GO Term: Negative Regulation Of Determination Of Dorsal Identity -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Determination Of Dorsal Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Male Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Male Gonad Development -> Biodomain: Developmental Processes, Reproduction, Cell Differentiation, Signaling Pathways, Cell Growth and Proliferation
GO Term: Regulation Of Multicellular Organismal Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Stem Cell Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Immune Response
GO Term: Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Cardiac Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Synapse
GO Term: Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Type B Pancreatic Cell Development -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Type B Pancreatic Cell Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Autophagy
GO Term: Positive Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Mammary Stem Cell Proliferation -> Biodomain: Cell Cycle, Stem Cells, Regeneration, Tissue Development, Cell Growth
GO Term: Negative Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Positive Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Regulation Of Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Apoptosis
GO Term: Negative Regulation Of Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Motility -> Biodomain: Vasculature, Immune Response, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Regulation Of Retrograde Vesicle-Mediated Transport, Golgi To Er -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Ubiquitin-Specific Protease Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Negative Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Pro-T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Androgen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Phosphate Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Female Gonad Development -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Ribosomal Small Subunit Export From Nucleus -> Biodomain: Cell Cycle, Proteostasis, RNA Spliceosome, Structural Stabilization, Epigenetic
GO Term: Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Testosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Testosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Pancreatic A Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Pancreatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Vasculature, Structural Stabilization, Epigenetic
GO Term: Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Reproductive Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Immune Response
GO Term: Negative Regulation Of Feeding Behavior -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Feeding Behavior -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, DNA Repair
GO Term: Regulation Of Protein Activation Cascade -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Synapse
GO Term: Negative Regulation Of Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Vasculature
GO Term: Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Positive Regulation Of Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Defecation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Tau Homeostasis
GO Term: Negative Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Synapse Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Cell Motility, Signal Transduction, Cytoskeleton, Cell Cycle
GO Term: Negative Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Tau Homeostasis, Autophagy
GO Term: Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Nmda Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Ampa Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Neural Plate Anterior/Posterior Pattern Formation -> Biodomain: Epigenetic, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
