Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Mitochondrial Metabolism, Epigenetic
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Cell Cycle, Epigenetic
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy, Proteostasis
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Synapse
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Cell Cycle
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Epigenetic
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cmp Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Myelination, Endolysosome, Proteostasis
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Synapse, Oxidative Stress, Proteostasis
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Response To Temperature Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Response To Ph -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Mrna Transcription -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Rrna Transcription -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Trna Transcription -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Protein Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Amine Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Amine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Autophagy
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, DNA Repair
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Synapse, Apoptosis, Oxidative Stress
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Four-Way Junction Helicase Activity -> Biodomain: Synapse, Proteostasis, DNA Repair, Epigenetic, Cell Cycle
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Autophagy
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Translational Attenuation -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Proteostasis
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Toxin Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Toxin Metabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Endolysosome, Autophagy
GO Term: Toxin Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis, Immune Response
GO Term: Response To Heat -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Cold -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Response To Water Deprivation -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Water -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Response To Light Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cyanate Catabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Glycolate Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Putrescine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Putrescine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Putrescine Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Rna Modification -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Autophagy
GO Term: Fertilization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Detection Of Uv -> Biodomain: Synapse, Oxidative Stress, Apoptosis, DNA Repair, Proteostasis
GO Term: Detection Of Gravity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Endolysosome
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/runtime_log.csv
