Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 6000 to 6499
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Motility, Myelination
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Tau Homeostasis, Synapse
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic, DNA Repair
GO Term: Regulation Of Cellular Ph -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Tau Homeostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Transport Vesicle Membrane -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Synapse
GO Term: Coated Vesicle Membrane -> Biodomain: APP Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Secretory Granule Membrane -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Autophagy
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Axolemma -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Preribosome -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: 90S Preribosome -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome, Structural Stabilization
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Synapse
GO Term: Noc1P-Noc2P Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Noc2P-Noc3P Complex -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Apoptosis, Mitochondrial Metabolism
GO Term: Noc4P-Nop14P Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Gtpase Regulator Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Extracellular Matrix Assembly, Cellular Component Organization, Developmental Process
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, DNA Repair
GO Term: P Granule Organization -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Immune Response, Endolysosome
GO Term: Ovulation -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Endolysosome, APP Metabolism
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Actin Filament Length -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Autosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Prostate Gland Development -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Epithelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Cortical Cytoskeleton -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Thyroid Gland Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Mammary Gland Development -> Biodomain: Endolysosome, Apoptosis, Autophagy, Immune Response, Structural Stabilization
GO Term: Rna Polymerase Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, APP Metabolism
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, APP Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/go_biodomain_results_part_13.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/runtime_log.csv
