Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Sodium Channel Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Chloride Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Autophagy, Myelination
GO Term: 4-Galactosyl-N-Acetylglucosaminide 3-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Response To Insecticide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Endolysosome
GO Term: Mitochondrial Processing Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Glycolipid Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Meprin A Complex -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Synapse, APP Metabolism
GO Term: Heparan Sulfate 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Synapse, Immune Response
GO Term: Acetylserotonin O-Methyltransferase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Sulfonylurea Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Very-Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aminoacyl-Trna Synthetase Multienzyme Complex -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: 5'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Epigenetic
GO Term: Glutamate-Cysteine Ligase Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleoside Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Ribonucleoside Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Dihydropyrimidine Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Single-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Lipoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Golgi Transport Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Plasma Membrane Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Protein N-Acetylglucosaminyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, APP Metabolism, Cell Cycle, Autophagy
GO Term: Sh3 Domain Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Deoxycytidyl Transferase Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Nucleologenesis -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Triglyceride Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Poly(C) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Cell Cycle, Epigenetic
GO Term: Fibroblast Growth Factor Binding -> Biodomain: Proteostasis, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Histone Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Mitochondrial Metabolism
GO Term: Insecticide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Autophagy
GO Term: Nmda Selective Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Wnt-Protein Binding -> Biodomain: Signal Transduction, Developmental Biology, Cell Proliferation, Cell Adhesion and Motility, Epigenetic
GO Term: Negative Regulation Of Translation -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Trna Dihydrouridine Synthase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Dead/H-Box Rna Helicase Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Semaphorin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Calcium-Ion Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Structural Stabilization
GO Term: Regulation Of Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature, Immune Response
GO Term: Pantetheine Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Inositol-1,3,4-Trisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Aryl Hydrocarbon Receptor Binding -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Vinculin Binding -> Biodomain: Structural Stabilization, Cell Adhesion, Cytoskeleton Organization, Focal Adhesion, Cell-Matrix Junction
GO Term: 5-Oxoprolinase (Atp-Hydrolyzing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Serine Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cysteine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Glycine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Glucosidase Ii Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Diphthine-Ammonia Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Protein Histidyl Modification To Diphthamide -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Peptidyl-Lysine Hydroxylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Pyroglutamic Acid Biosynthetic Process, Using Glutaminyl-Peptide Cyclotransferase -> Biodomain: Proteostasis, APP Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Peptidyl-Glutamic Acid Carboxylation -> Biodomain: Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: L-Aspartate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Myelination, Metal Binding and Homeostasis, Oxidative Stress
GO Term: N-Terminal Peptidyl-Aspartic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: N-Terminal Peptidyl-Glutamine Acetylation -> Biodomain: Proteostasis, Epigenetic, Protein Processing, Cellular Regulation, Acetylation
GO Term: N-Terminal Peptidyl-Methionine Acetylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: N-Terminal Peptidyl-Glutamic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Protein Folding and Stability, Lipid Metabolism
GO Term: Peptidyl-Lysine N6-Acetylation -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: N-Terminal Peptidyl-Glycine N-Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: N-Terminal Peptidyl-L-Cysteine N-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: N-Terminal Peptidyl-Glycine Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: N-Terminal Peptidyl-Proline Dimethylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Peptidyl-Histidine Methylation -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Peptidyl-Lysine Methylation -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Peptidyl-Lysine Trimethylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Calmodulin-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Synapse
GO Term: Peptidyl-Lysine Monomethylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Peptidyl-Lysine Dimethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Peptidyl-Lysine N6-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Peptidyl-Lysine Oxidation -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cytochrome C-Heme Linkage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Protein-L-Histidine N-Tele-Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: N-Terminal Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Protein Polyglycylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein Polyglutamylation -> Biodomain: Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Peptidyl-Tyrosine Phosphorylation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Proline Racemase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Threonine Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Synapse
GO Term: Protein Adenylylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Peptidyl-Cysteine S-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Peptidyl-Cysteine Methylation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Structural Stabilization
GO Term: Protein Hydroxylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Keratan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Immune Response
GO Term: Peptide Cross-Linking -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Isopeptide Cross-Linking Via N6-(L-Isoglutamyl)-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Protein Oxidation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Peptidyl-Serine Octanoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Peptidyl-Glutamic Acid Modification -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Endolysosome
GO Term: Peptidyl-Methionine Modification -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidyl-Arginine Methylation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Autophagy
GO Term: Peptidyl-L-Cysteine S-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Protein O-Linked Glycosylation Via Serine -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Protein O-Linked Glycosylation Via Threonine -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Protein-Pyridoxal-5-Phosphate Linkage Via Peptidyl-N6-Pyridoxal Phosphate-L-Lysine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Deamination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein N-Linked Glycosylation Via Asparagine -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome
GO Term: Protein-Fad Linkage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Protein Prenylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Protein Farnesylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Protein Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Structural Stabilization
GO Term: Peptidyl-Glutamine Methylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Internal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Peptidyl-Lysine Hydroxylation To 5-Hydroxy-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Peptidyl-Proline Hydroxylation To 4-Hydroxy-L-Proline -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Protein C-Terminal Leucine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Translation Release Factor Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Alcohol Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Formaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Benzaldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Malonate-Semialdehyde Dehydrogenase (Acetylating) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Benzaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Methanethiol Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 4-Nitrophenol 2-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: (S)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: (S)-Limonene 7-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Alkane 1-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Thiol S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Propionate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: S-Formylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Acetylpyruvate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cyanamide Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Benzoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Arsonoacetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Benzoate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Biphenyl Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Immune Response
GO Term: Carbon Tetrachloride Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Phthalate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Propylene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Thiocyanate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism
GO Term: Guanyl Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Virion Assembly -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Structural Stabilization
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Virus Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Viral Genome Replication -> Biodomain: Cell Cycle, RNA Spliceosome, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Viral Translation -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Viral Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Viral Transcription -> Biodomain: Immune Response, Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Late Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Reproductive Behavior -> Biodomain: Epigenetic, Immune Response, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Male Germ-Line Sex Determination -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Female Somatic Sex Determination -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Male Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Immune Response
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Apoptosis
GO Term: Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Mannokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Metabolic Pathways, Cellular Processes, Molecular Functions, Enzyme Activity, Metabolite Processing
