Running with TEMP=0.5, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Interleukin-35 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-35-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Pre-Snornp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Nuclear Pore Transmembrane Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Gamma-Secretase Complex -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Pas Complex -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Protein-N-Terminal Glutamine Amidohydrolase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Moz/Morf Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: D-Aspartate Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: L-Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: D-Aspartate Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Dihydrosphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Biotin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Hydrogen Sulfide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Peptidyl-Lysine 5-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Structural Stabilization
GO Term: Tertiary Granule -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Tertiary Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sin3-Type Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Paraferritin Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heterochromatin Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Basement Membrane Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Chromium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Caveola Assembly -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Dehydroascorbic Acid Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Dynein Complex Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Aggresome Assembly -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Polyubiquitinated Misfolded Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Core Mediator Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Response To Growth Factor -> Biodomain: Signaling, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Response To Epidermal Growth Factor -> Biodomain: Cell Cycle, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Epigenetic, Immune Response
GO Term: Cell Body Fiber -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Myosin Vi Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Myosin Vi Light Chain Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Rna Polymerase I Core Factor Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Soss Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Microprocessor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Primary Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Pre-Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Vasculature
GO Term: E-Box Binding -> Biodomain: Epigenetic, Synapse, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Platelet Alpha Granule Organization -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Lipoteichoic Acid Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Lipoteichoic Acid Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Iii Preinitiation Complex Assembly -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, RNA Spliceosome
GO Term: Mitochondrial Trna Wobble Uridine Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Epigenetic, Lipid Metabolism
GO Term: Mitochondrial Trna Modification -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Trna Methylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Mitochondrial Trna Pseudouridine Synthesis -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Serine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Synapse
GO Term: Global Genome Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Uv-Damage Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Proteostasis
GO Term: Lysophosphatidic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Regulation Of Regulatory Ncrna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Sirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Cell Cycle, Autophagy
GO Term: Risc Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Organelle Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi-Associated Vesicle Lumen -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Crd-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Structural Stabilization, RNA Spliceosome, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Crd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dsl1/Nzr Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Neutrophil-Mediated Killing Of Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Neutrophil-Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Neutrophil-Mediated Killing Of Gram-Positive Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Neutrophil-Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Neutrophil Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Nuclear-Transcribed Mrna Catabolic Process, No-Go Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, DNA Repair
GO Term: Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Localization To Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Pou Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Fha Domain Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Tir Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Bone Maturation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Protein K11-Linked Ubiquitination -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: L-Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Asparagine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Transcription Factor Tfiik Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Left/Right Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Error-Free Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Demethylation -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Oxidative Demethylation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Medium-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Detection Of Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Type 1 Melanocortin Receptor Binding -> Biodomain: Immune Response, DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Response To Magnetism -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: U4/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: U4Atac/U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: U2-Type Prespliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: U2-Type Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U2-Type Catalytic Step 1 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U2-Type Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: U2-Type Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Epigenetic
GO Term: Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U2-Type Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Nuclear Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Nuclear Mrna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Nuclear Mrna Surveillance Of Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Snorna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Tramp-Dependent Trna Surveillance Pathway -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Nuclear Polyadenylation-Dependent Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Antisense Transcript Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Histone Mrna Catabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Nuclear Histone Mrna Catabolic Process -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Poly(A)-Dependent Snorna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Alphav-Beta3 Integrin-Vitronectin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Alpha9-Beta1 Integrin-Vascular Cell Adhesion Molecule-1 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Proteostasis
GO Term: Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Eukaryotic Initiation Factor Eif2 Binding -> Biodomain: Protein Synthesis, Translation Regulation, Cell Growth and Proliferation, Signal Transduction, Metabolism
GO Term: Dna Conformation Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Response To Interleukin-9 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Response To Interleukin-11 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Response To Parathyroid Hormone -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Superior Temporal Gyrus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Alpha9-Beta1 Integrin-Adam8 Complex -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Metal Binding and Homeostasis
GO Term: Resolution Of Dna Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Resolution Of Mitotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Smad Protein Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Apoptosis, Immune Response
GO Term: Homomeric Smad Protein Complex -> Biodomain: Signal Transduction, Transcription Regulation, Protein Complex Assembly, Cell Cycle, Apoptosis
GO Term: Heteromeric Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cmg Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Replication Preinitiation Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Rna Cap Trimethylguanosine Synthase Activity -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Ribonucleoprotein Complex Localization -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Establishment Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Kv4.2-Kchip2 Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Kv4.3-Kchip1 Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Wash Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Synapse
GO Term: Histone Pre-Mrna 3'End Processing Complex -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Establishment Of Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Histone Pre-Mrna Stem-Loop Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Histone Pre-Mrna Dcp Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: U7 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Protein Targeting To Vacuole Involved In Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cellular Response To External Biotic Stimulus -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Cellular Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Bacterial Lipopeptide -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Cellular Response To Lipopolysaccharide -> Biodomain: Immune Response, Inflammation, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cellular Response To Lipoteichoic Acid -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cellular Response To Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Muramyl Dipeptide -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Cellular Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Amino Acid Stimulus -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Cellular Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Cellular Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Antibiotic -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Cellular Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Connexin Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Cytoplasmic U Snrnp Body -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Cellular Response To Electrical Stimulus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Cellular Response To Magnetism -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Cellular Response To Mechanical Stimulus -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Epigenetic
GO Term: Ssh1 Translocon Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Translational Initiation In Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: 'De Novo' L-Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Methionine Salvage -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Aluminum Ion -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
