In a magical forest, a lonely unicorn named Luna discovered a hidden glade filled with twinkling stars. Every night, she danced under the shimmering lights, spreading joy and laughter to all the creatures around her. One evening, as she twirled, she made a wish for friends, and to her delight, a troupe of playful fairies appeared, ready to join her enchanting adventures.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis

Pathway: Cgmp Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism

Pathway: Dgtp Metabolic Process -> Biodomain: Unknown, DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis

Pathway: Dtmp Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Dttp Catabolic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Dump Catabolic Process -> Biodomain: DNA Repair, Unknown, RNA Spliceosome, Apoptosis, Proteostasis

Pathway: Dutp Catabolic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Adenine Metabolic Process -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Apoptosis, Autophagy

Pathway: Adenine Biosynthetic Process -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Autophagy, Mitochondrial Metabolism

Pathway: Adenosine Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response

Pathway: Adenosine Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Deoxycytidine Metabolic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Epigenetic, Cell Cycle

Pathway: Guanine Metabolic Process -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Apoptosis, Proteostasis

Pathway: Hypoxanthine Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Hypoxanthine Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: Inosine Biosynthetic Process -> Biodomain: Unknown, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Thymidine Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Thymidine Biosynthetic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Cell Cycle, Mitochondrial Metabolism

Pathway: Uridine Metabolic Process -> Biodomain: Unknown, RNA Spliceosome, Lipid Metabolism, Apoptosis, Autophagy

Pathway: Xanthine Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: Deoxyribonucleoside Catabolic Process -> Biodomain: DNA Repair, Autophagy, Oxidative Stress, Proteostasis, Unknown

Pathway: Purine Deoxyribonucleoside Metabolic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Purine Ribonucleoside Catabolic Process -> Biodomain: Unknown, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Pyrimidine Nucleoside Catabolic Process -> Biodomain: Unknown, Lipid Metabolism, Autophagy, DNA Repair, Oxidative Stress

Pathway: Tetrahydrobiopterin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Alcohol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Glyceraldehyde-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Glycerol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Glycerol-3-Phosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Aldehyde Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis

Pathway: Spermidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism

Pathway: Nor-Spermidine Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Unknown

Pathway: Spermine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, DNA Repair

Pathway: Nitric Oxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response, Apoptosis

Pathway: Nitric Oxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Autophagy

Pathway: Indolalkylamine Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response

Pathway: Aflatoxin Metabolic Process -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Autophagy

Pathway: Aflatoxin Catabolic Process -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Autophagy

Pathway: Coumarin Catabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Stilbene Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy

Pathway: Formaldehyde Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: Formaldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Glycolate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown

Pathway: Glycolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Phosphocreatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Gluconokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Negative Regulation Of Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Autophagy, Proteostasis, Oxidative Stress

Pathway: Regulation Of Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Positive Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Negative Regulation Of Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: D-Glucose Import -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response

Pathway: Regulation Of D-Glucose Import -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy, Mitochondrial Metabolism

Pathway: Negative Regulation Of D-Glucose Import -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy, Proteostasis

Pathway: Positive Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response

Pathway: Glycerol Biosynthetic Process From Pyruvate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Unknown

Pathway: Regulation Of Jnk Cascade -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Negative Regulation Of Jnk Cascade -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy

Pathway: Positive Regulation Of Jnk Cascade -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Lateral Inhibition -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Cell Cycle

Pathway: Smad Binding -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, DNA Repair

Pathway: Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Unknown

Pathway: Phosphatidylethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Unknown

Pathway: Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Autophagy, Oxidative Stress, Proteostasis

Pathway: Diacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Unknown

Pathway: Cdp-Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Unknown, Structural Stabilization

Pathway: Disaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Acetyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Butyrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown

Pathway: 2-Oxobutyrate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Gdp-L-Fucose Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Proteostasis, Oxidative Stress

Pathway: Fructose Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: L-Arabinose Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Oxidative Stress, Autophagy

Pathway: N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Cmp-N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Deoxyribose Phosphate Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Ribose Phosphate Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Carboxylic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Carboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Udp-Glucuronate Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Polynucleotide 3'-Phosphatase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Atp-Dependent Polydeoxyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Unknown

Pathway: Urate Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: D-Amino Acid Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Organophosphate Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Creatinine Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Dihydrofolate Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Hexadecanal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Short-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Acylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Membrane Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism

Pathway: Platelet Activating Factor Metabolic Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Unknown

Pathway: Phosphatidylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Phosphatidic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Glycerophospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Unknown

Pathway: Glycosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Unknown, Proteostasis, Oxidative Stress

Pathway: Glycosphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Unknown, Structural Stabilization, Immune Response

Pathway: Ether Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Proteostasis

Pathway: Glycerolipid Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Glyoxylate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown

Pathway: Phosphatidylinositol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization

Pathway: Isopentenyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: L-Methylmalonyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown

Pathway: Nicotinamide Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: S-Adenosylhomocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: S-Adenosylmethioninamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: S-Adenosylmethionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Protoporphyrinogen Ix Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis

Pathway: Sphinganine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Sphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Autophagy, Proteostasis

Pathway: Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Ceramide Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Sphingoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Sphingoid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Unknown

Pathway: S-Methyl-5-Thioribose-1-Phosphate Isomerase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Xylosylprotein 4-Beta-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Unknown, Autophagy, Metal Binding and Homeostasis

Pathway: D-Xylulose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Photoreceptor Cell Differentiation -> Biodomain: Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Negative Regulation Of Photoreceptor Cell Differentiation -> Biodomain: Unknown, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Dosage Compensation Complex -> Biodomain: Unknown, Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle

Pathway: Histamine N-Methyltransferase Activity -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: U4/U6 X U5 Tri-Snrnp Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Saliva Secretion -> Biodomain: Unknown, Immune Response, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Development Of Secondary Female Sexual Characteristics -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Development Of Secondary Male Sexual Characteristics -> Biodomain: Immune Response, Unknown, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Development Of Primary Female Sexual Characteristics -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism

Pathway: Development Of Primary Male Sexual Characteristics -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Endolysosome, Unknown

Pathway: Retinal Rod Cell Development -> Biodomain: Unknown, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Retinal Cone Cell Development -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: L-Malate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Alpha-L-Arabinofuranosidase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Methylthioribulose 1-Phosphate Dehydratase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Long-Chain-Alcohol Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Regulation Of Ras Protein Signal Transduction -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Positive Regulation Of Ras Protein Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis

Pathway: Negative Regulation Of Ras Protein Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle

Pathway: Intercellular Canaliculus -> Biodomain: Unknown, Synapse, Immune Response, Structural Stabilization, Endolysosome

Pathway: Positive Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Negative Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Polyamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, APP Metabolism

Pathway: Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Mitochondrial Metabolism

Pathway: Host-Mediated Suppression Of Symbiont Invasion -> Biodomain: Immune Response, Unknown, Apoptosis, Oxidative Stress, Proteostasis

Pathway: Positive Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Mitochondrial Metabolism

Pathway: Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Unknown, Proteostasis, Apoptosis, DNA Repair

Pathway: Negative Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Unknown

Pathway: Positive Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Unknown

Pathway: Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Unknown

Pathway: Negative Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Unknown

Pathway: Positive Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Unknown, Structural Stabilization

Pathway: Regulation Of Centrosome Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Unknown

Pathway: Lysosomal Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Xenobiotic Export From Cell -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism

Pathway: Lens Placode Formation Involved In Camera-Type Eye Formation -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Structural Stabilization

Pathway: Regulation Of Organ Growth -> Biodomain: Unknown, Immune Response, Cell Cycle, Apoptosis, Proteostasis

Pathway: Negative Regulation Of Organ Growth -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Immune Response

Pathway: Positive Regulation Of Organ Growth -> Biodomain: Unknown, Immune Response, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Sphingolipid Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Unknown

Pathway: Sphingolipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization

Pathway: Sphingolipid Binding -> Biodomain: Lipid Metabolism, Unknown, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism

Pathway: Negative Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Positive Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis

Pathway: Gamma-Delta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Unknown

Pathway: Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis

Pathway: Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Unknown

Pathway: Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Unknown

Pathway: Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Positive Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Negative Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Positive Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Unknown, Cell Cycle, Apoptosis, Proteostasis

Pathway: Negative Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Unknown

Pathway: Positive Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Negative Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Unknown

Pathway: Positive Regulation Of Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Lymphocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Unknown

Pathway: Tetrahydrofolate Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Tetrahydrofolate Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Folic Acid Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, DNA Repair

Pathway: Folic Acid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response, Mitochondrial Metabolism

Pathway: Digestive Hormone Activity -> Biodomain: Unknown, Digestive Hormone Activity, Immune Response, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Male Sex Differentiation -> Biodomain: Unknown, Immune Response, Apoptosis, Proteostasis, Endolysosome

Pathway: Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism

Pathway: Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism

Pathway: Negative Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism

Pathway: Negative Regulation Of Insulin Secretion -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism

