Once upon a time, in a hidden valley, a gentle unicorn named Luna spread her shimmering wings under the moonlight. Each night, she gathered the stars that fell from the sky and returned them to their rightful place, making the world sparkle with magic. One evening, as she shared her glow with a lost little fox, they became friends, and together they filled the valley with laughter and joy.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis

Pathway: Negative Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: Positive Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response

Pathway: Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Positive Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis

Pathway: Negative Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Positive Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Cell Cycle

Pathway: Negative Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Structural Stabilization

Pathway: Positive Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Cell Cycle, Endolysosome

Pathway: Mutlalpha Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Photoreceptor Connecting Cilium -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism

Pathway: Dna Geometric Change -> Biodomain: DNA Repair, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Mhc Class Ii Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Mhc Class Ib Protein Complex -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Endolysosome

Pathway: Hect Domain Binding -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis

Pathway: Melanosome Localization -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism

Pathway: Establishment Of Melanosome Localization -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis, Immune Response

Pathway: Melanosome Transport -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism, Immune Response

Pathway: Mutlalpha Complex Binding -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Mutlbeta Complex Binding -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Immune Response

Pathway: Mutsalpha Complex Binding -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Mutsbeta Complex Binding -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Negative Regulation Of Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Immune Response, DNA Repair

Pathway: Positive Regulation Of Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Regulation Of Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Immune Response, Structural Stabilization

Pathway: Positive Regulation Of Ion Transmembrane Transporter Activity -> Biodomain: Ion Transport, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Cell Cycle

Pathway: Positive Regulation Of Sodium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Lysosome Localization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Immune Response

Pathway: Stereocilium -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Stereocilium Bundle -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Purine-Rich Negative Regulatory Element Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Apoptosis

Pathway: Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Immune Response

Pathway: Positive Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Stereocilium Tip -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Gbd Domain Binding -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Cell Cycle

Pathway: Beta-N-Acetylgalactosaminidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Immune Response, Structural Stabilization

Pathway: Actin Filament Bundle -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton, Immune Response, Apoptosis

Pathway: Filopodium Tip -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Apoptosis

Pathway: Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response

Pathway: Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, DNA Repair

Pathway: Cuticular Plate -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Melanosome Organization -> Biodomain: Melanosome Organization, Proteostasis, Oxidative Stress, Lipid Metabolism, Immune Response

Pathway: 2-Alkenal Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Activin Responsive Factor Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Epigenetic, Cell Cycle

Pathway: Protein Modification By Small Protein Conjugation -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Protein Urmylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Dna Hairpin Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy

Pathway: Cbm Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Histone Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Histone H3K4 Demethylase Activity -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy

Pathway: Histone H3K9 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Immune Response

Pathway: Endocytic Recycling -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Immune Response

Pathway: Slow Endocytic Recycling -> Biodomain: Endolysosome, Autophagy, Immune Response, Structural Stabilization, Mitochondrial Metabolism

Pathway: Negative Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, DNA Repair

Pathway: Positive Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, Structural Stabilization, Immune Response

Pathway: Negative Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, Structural Stabilization, Immune Response

Pathway: Positive Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy, Structural Stabilization

Pathway: Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Cytokinesis, Immune Response, Apoptosis, Proteostasis

Pathway: Negative Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Positive Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Golgi Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Calcium Homeostasis, Endolysosome, Proteostasis, Oxidative Stress

Pathway: Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Positive Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Calcium Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis

Pathway: Golgi Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Calcium Homeostasis

Pathway: Cytoplasmic Side Of Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Otolith Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Immune Response, Apoptosis, Cell Cycle

Pathway: Otolith Formation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Immune Response, Apoptosis, Endolysosome

Pathway: Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Heterotetrameric Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Rab Protein Signal Transduction -> Biodomain: Vasculature, Proteostasis, Autophagy, Immune Response, Structural Stabilization

Pathway: Regulation Of Rab Protein Signal Transduction -> Biodomain: Vasculature, Immune Response, Autophagy, Structural Stabilization, Oxidative Stress

Pathway: Ral Protein Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Regulation Of Ral Protein Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Cell Cycle, Apoptosis

Pathway: Rap Protein Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress

Pathway: Regulation Of Rap Protein Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Regulation Of Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Detection Of Molecule Of Bacterial Origin -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Detection Of Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Response To Bacterial Lipoprotein -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Response To Peptidoglycan -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Endolysosome

Pathway: Response To Muramyl Dipeptide -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Structural Stabilization

Pathway: Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization

Pathway: Detection Of Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization

Pathway: Detection Of Muramyl Dipeptide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization

Pathway: Detection Of Peptidoglycan -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Endolysosome

Pathway: Muramyl Dipeptide Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Structural Stabilization

Pathway: Developmental Process -> Biodomain: Developmental Process, Immune Response, Apoptosis, Cell Cycle, Myelination

Pathway: Cytokinetic Process -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Maintenance Of Protein Location In Cell -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Immune Response

Pathway: Endosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Oxidative Stress

Pathway: Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Immune Response

Pathway: Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis

Pathway: Somite Rostral/Caudal Axis Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Immune Response, Myelination

Pathway: Response To Retinoic Acid -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair

Pathway: Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Microvillus Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Regulation Of Microvillus Length -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Apoptosis, Immune Response

Pathway: Regulation Of Microvillus Assembly -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Immune Response

Pathway: Regulation Of Cellular Component Size -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Regulation Of Cell Projection Size -> Biodomain: Cell Cycle, Proteostasis, Synapse, Apoptosis, Mitochondrial Metabolism

Pathway: Cortical Endoplasmic Reticulum -> Biodomain: Proteostasis, Synapse, Autophagy, Lipid Metabolism, Structural Stabilization

Pathway: Sulfiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy

Pathway: Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, DNA Repair

Pathway: Curi Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response

Pathway: Ribonucleoside Binding -> Biodomain: RNA Spliceosome, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress

Pathway: Ribonucleotide Binding -> Biodomain: RNA Spliceosome, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Purine Ribonucleotide Binding -> Biodomain: RNA Spliceosome, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Pyrimidine Deoxyribonucleotide Binding -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Pyrimidine Ribonucleotide Binding -> Biodomain: RNA Spliceosome, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Adenyl Deoxyribonucleotide Binding -> Biodomain: Metal Binding and Homeostasis, RNA Spliceosome, DNA Repair, Apoptosis, Proteostasis

Pathway: Adenyl Ribonucleotide Binding -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Guanyl Ribonucleotide Binding -> Biodomain: RNA Spliceosome, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress

Pathway: Datp Binding -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Apoptosis, RNA Spliceosome, Oxidative Stress

Pathway: Dgtp Binding -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Autophagy, Proteostasis

Pathway: Response To Progesterone -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Mitochondrial Metabolism

Pathway: Response To Vitamin K -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: 5'-3' Rna Helicase Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Golgi Cisterna Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Immune Response

Pathway: Er-Dependent Peroxisome Organization -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis

Pathway: Growth Cone Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Multivesicular Body Membrane -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress

Pathway: Ruffle Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Trans-Golgi Network Membrane -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy

Pathway: Neuron Projection Membrane -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Dendrite Membrane -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy

Pathway: Dendritic Spine Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Myelination

Pathway: Insulin-Responsive Compartment -> Biodomain: Vasculature, Insulin Response, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Protein Transport Into Membrane Raft -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Synapse, Oxidative Stress

Pathway: B Cell Receptor Transport Into Membrane Raft -> Biodomain: Immune Response, Synapse, Lipid Metabolism, Proteostasis, Apoptosis

Pathway: Chemokine Receptor Transport Out Of Membrane Raft -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Apoptosis, Autophagy

Pathway: Regulation Of Chemokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Regulation Of Trail Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Chemokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Negative Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Hepatocyte Growth Factor Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-27 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Interleukin-7 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Chemokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Proteostasis, Immune Response, Mitochondrial Metabolism, Apoptosis, Structural Stabilization

Pathway: Positive Regulation Of Fractalkine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

