Once upon a time in a glittering forest, a curious unicorn named Luna discovered a hidden glade filled with glowing flowers. Each night, the flowers whispered secrets of joy and laughter, making Luna's heart sparkle with happiness. With a gentle flick of her tail, she spread the magic of the glade across the land, bringing sweet dreams to all who slept under the stars.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Negative Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Positive Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis

Pathway: Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Sterol Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Sterol Sensor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: Srebp-Scap Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair

Pathway: Srebp-Scap-Insig Complex -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis

Pathway: Negative Regulation Of Translation In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Secretion By Cell -> Biodomain: Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress

Pathway: Positive Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Autophagy, Cell Cycle, Apoptosis, Structural Stabilization

Pathway: Regulation Of Actin Cytoskeleton Organization -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Autophagy

Pathway: Inositol Trisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Immune Response

Pathway: Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Positive Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Immune Response

Pathway: Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Mitochondrial Metabolism, Apoptosis

Pathway: Collagen Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Immune Response, Apoptosis

Pathway: Regulation Of Collagen Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Apoptosis

Pathway: Negative Regulation Of Collagen Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Positive Regulation Of Collagen Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Apoptosis

Pathway: Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Apoptosis

Pathway: Regulation Of Actin Filament-Based Process -> Biodomain: Proteostasis, Apoptosis, Synapse, Cell Cycle, Autophagy

Pathway: Regulation Of Muscle Filament Sliding -> Biodomain: Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle

Pathway: Regulation Of Muscle Filament Sliding Speed -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Amino Acid Export Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Immune Response

Pathway: Release Of Matrix Enzymes From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Membrane Insertase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Protein Insertion Into Mitochondrial Inner Membrane From Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, APP Metabolism

Pathway: Keratinocyte Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Mitochondrial Respiratory Chain Complex I Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy

Pathway: Myosin Filament -> Biodomain: Structural Stabilization, Proteostasis, Myelination, Apoptosis, Cell Cycle

Pathway: Kainate Selective Glutamate Receptor Complex -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis

Pathway: Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Protein-Dna Complex Disassembly -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Cellular Anatomical Entity Morphogenesis -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Mitochondrial Metabolism

Pathway: Protein-Containing Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, RNA Spliceosome

Pathway: Protein-Dna Complex -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy

Pathway: Protein-Lipid Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization

Pathway: Bcl3-Bcl10 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Fc-Epsilon Receptor I Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Fc-Gamma Receptor Iii Complex -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress, Endolysosome

Pathway: Muscle Cell Proliferation -> Biodomain: Cell Cycle, Muscle Cell Proliferation, Proteostasis, Immune Response, Apoptosis

Pathway: Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Positive Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Paranodal Junction -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Apoptosis

Pathway: Perinuclear Theca -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Apoptosis, Immune Response

Pathway: Tetrapyrrole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Tetrapyrrole Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Sarcoplasmic Reticulum Membrane -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome

Pathway: Sarcoplasmic Reticulum Lumen -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Mast Cell Homeostasis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Positive Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Myelination, Proteostasis, Oxidative Stress

Pathway: Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Autophagy

Pathway: Negative Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Autophagy

Pathway: Positive Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Polysaccharide Localization -> Biodomain: Cell Cycle, Autophagy, Structural Stabilization, Immune Response, Mitochondrial Metabolism

Pathway: Bitter Taste Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome

Pathway: Sour Taste Receptor Activity -> Biodomain: Immune Response, Structural Stabilization, Synapse, Proteostasis, Apoptosis

Pathway: Sweet Taste Receptor Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis

Pathway: Regulation Of Organelle Organization -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Structural Stabilization

Pathway: Regulation Of Chromosome Organization -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Regulation Of Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: Directional Locomotion -> Biodomain: Immune Response, Mitochondrial Metabolism, Autophagy, Cell Cycle, Structural Stabilization

Pathway: Cellular Pigmentation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Rad51B-Rad51C-Rad51D-Xrcc2 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic

Pathway: Rad51C-Xrcc3 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic

Pathway: Isoquinoline Alkaloid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis

Pathway: T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Regulation Of Extrathymic T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Negative Regulation Of Immature T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome

Pathway: Positive Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Positive Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Weibel-Palade Body -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress

Pathway: Cis-Golgi Network Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization

Pathway: Mitochondrial Respiratory Chain Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress

Pathway: Negative Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Immune Response

Pathway: Positive Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Immune Response

Pathway: Acetylcholine Receptor Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Negative Regulation Of Glucokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Mitochondrial Metabolism

Pathway: Negative Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress

Pathway: Positive Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle, Endolysosome

Pathway: Negative Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Positive Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Nuclear Progesterone Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic

Pathway: Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Ffat Motif Binding -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Immune Response

Pathway: Cytoskeletal Calyx -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeletal Metabolism, Apoptosis, Immune Response

Pathway: V(D)J Recombination -> Biodomain: Immune Response, Apoptosis, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Immunoglobulin V(D)J Recombination -> Biodomain: Immune Response, Apoptosis, DNA Repair, Epigenetic, Proteostasis

Pathway: T Cell Receptor V(D)J Recombination -> Biodomain: Immune Response, Apoptosis, Proteostasis, DNA Repair, Epigenetic

Pathway: Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Immune Response, Structural Stabilization

Pathway: Melanosome Membrane -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Interphotoreceptor Matrix -> Biodomain: Synapse, Proteostasis, Immune Response, Mitochondrial Metabolism, Apoptosis

Pathway: Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism

Pathway: Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Proton-Transporting Two-Sector Atpase Complex, Proton-Transporting Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Proton-Transporting Two-Sector Atpase Complex, Catalytic Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Metal Binding and Homeostasis

Pathway: Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Plasma Membrane Proton-Transporting V-Type Atpase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Dolichol-Phosphate-Mannose Synthase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Caf-1 Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Sphingomyelin Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Metal Binding and Homeostasis

Pathway: Response To Vitamin A -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome

Pathway: Calmodulin-Dependent Protein Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Mitochondrial Metabolism

Pathway: Response To Hydroperoxide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism

Pathway: Response To Vitamin E -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response

Pathway: Response To Atp -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis

Pathway: Ribonuclease P Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress

Pathway: Meiotic Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Immune Response

Pathway: Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Leptin-Mediated Signaling Pathway -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis

Pathway: Adiponectin-Activated Signaling Pathway -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis

Pathway: Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Iron Import Into Cell, Oxidative Stress, Autophagy, Proteostasis

Pathway: Reductive Iron Assimilation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response

Pathway: Amide Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome

Pathway: Dsrna Transport -> Biodomain: Immune Response, Autophagy, RNA Spliceosome, Structural Stabilization, Endolysosome

Pathway: Cysteine Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Epigenetic

Pathway: Negative Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Epigenetic

Pathway: Positive Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Oxidative Stress

Pathway: I-Kappab/Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Bcl3/Nf-Kappab2 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, DNA Repair

Pathway: Nuclear Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Epigenetic

Pathway: Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Immune Response

Pathway: Corvet Complex -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress

Pathway: Choline Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Proteostasis

Pathway: Node Of Ranvier -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Apoptosis

Pathway: Internode Region Of Axon -> Biodomain: Myelination, Synapse, Structural Stabilization, Vasculature, Proteostasis

Pathway: Paranode Region Of Axon -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress

Pathway: Response To Vitamin -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Response To Vitamin B2 -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Actin-Myosin Filament Sliding -> Biodomain: Proteostasis, Synapse, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Transcription Factor Tftc Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy

Pathway: Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Response To Vitamin D -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome

Pathway: Eukaryotic 48S Preinitiation Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy

Pathway: Eukaryotic 80S Initiation Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Epigenetic

Pathway: T-Tubule Organization -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Apoptosis

Pathway: Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis

Pathway: Dehydroascorbic Acid Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis

Pathway: Cell Cycle Comprising Mitosis Without Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism

Pathway: Phytol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress

Pathway: Meiotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: Udp-D-Xylose Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair

Pathway: Cerebrospinal Fluid Secretion -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis

Pathway: Leydig Cell Differentiation -> Biodomain: Immune Response, Mitochondrial Metabolism, Apoptosis, Proteostasis, Endolysosome

Pathway: Peroxisome Membrane Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Cholesterol Efflux -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: L-Asparagine Catabolic Process Via L-Aspartate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: S-Adenosylmethionine Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Secretory Granule Organization -> Biodomain: Secretory Granule Organization, Proteostasis, Autophagy, Immune Response, Lipid Metabolism

Pathway: Mast Cell Secretory Granule Organization -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization

Pathway: Protein Localization To Organelle -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Structural Stabilization

Pathway: Protein Localization To Secretory Granule -> Biodomain: Secretory Granule, Proteostasis, Immune Response, Autophagy, Lipid Metabolism

Pathway: T Cell Secretory Granule Organization -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Structural Stabilization

Pathway: Maintenance Of Protease Location In Mast Cell Secretory Granule -> Biodomain: Proteostasis, Immune Response, Apoptosis, Endolysosome, Structural Stabilization

Pathway: Maintenance Of Granzyme B Location In T Cell Secretory Granule -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization

Pathway: Geranyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Geranyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Geranylgeranyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis

Pathway: Putrescine Biosynthetic Process From Arginine, Via Ornithine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Putrescine Biosynthetic Process From Arginine, Via Agmatine -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Chromatoid Body -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Immune Response, DNA Repair

Pathway: Beta-Alanine Biosynthetic Process Via 3-Ureidopropionate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis

