Once upon a time in a shimmering forest, a gentle unicorn named Luna discovered a hidden glade filled with sparkling stardust. Each night, she sprinkled the stardust over her friends, making their dreams come true as they peacefully slept under the twinkling sky. As the moonlight danced on their fur, Luna whispered, “May your dreams light up the world, just as you light up my heart.”
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Negative Regulation Of Cell Growth Involved In Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Myelination, Immune Response, Apoptosis, Structural Stabilization

Pathway: Somite Development -> Biodomain: Immune Response, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Apoptosis

Pathway: Myotome Development -> Biodomain: Muscle Development, Myelination, Proteostasis, Apoptosis, Cell Cycle

Pathway: Sclerotome Development -> Biodomain: Immune Response, Structural Stabilization, Myelination, Apoptosis, Cell Cycle

Pathway: Muscle Structure Development -> Biodomain: Muscle Structure Development, Proteostasis, Synapse, Immune Response, Apoptosis

Pathway: Iris Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Myelination, Oxidative Stress

Pathway: Ciliary Body Morphogenesis -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization

Pathway: Regulation Of Neural Retina Development -> Biodomain: Immune Response, Synapse, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Positive Regulation Of Prostaglandin Secretion Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism

Pathway: Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Cytokine Production, Proteostasis, Apoptosis, Endolysosome

Pathway: Negative Regulation Of Protein Refolding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Positive Regulation Of Phospholipid Translocation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis

Pathway: Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Structural Stabilization

Pathway: Positive Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Oxidative Stress

Pathway: Negative Regulation Of Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress

Pathway: Lung Neuroendocrine Cell Differentiation -> Biodomain: Immune Response, Synapse, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Neuroendocrine Cell Differentiation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Stomach Neuroendocrine Cell Differentiation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Myelination

Pathway: Carotid Body Glomus Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Adrenal Chromaffin Cell Differentiation -> Biodomain: Immune Response, Synapse, Apoptosis, Mitochondrial Metabolism, Endolysosome

Pathway: Negative Regulation Of Stomach Neuroendocrine Cell Differentiation -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Seminal Vesicle Epithelium Development -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Cell Cycle

Pathway: Pancreas Morphogenesis -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle

Pathway: Branching Involved In Pancreas Morphogenesis -> Biodomain: Immune Response, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Autophagy

Pathway: Lung Proximal/Distal Axis Specification -> Biodomain: Lung Proximal/Distal Axis Specification, Immune Response, Apoptosis, Structural Stabilization, Cell Cycle

Pathway: Endopeptidase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Mitochondrial Metabolism

Pathway: Endopeptidase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Mitochondrial Metabolism

Pathway: Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Morphogenesis Of A Branching Epithelium -> Biodomain: Morphogenesis Of A Branching Epithelium, Immune Response, Proteostasis, Apoptosis, Cell Cycle

Pathway: Lung Ciliated Cell Differentiation -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Alveolar Primary Septum Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis

Pathway: Alveolar Secondary Septum Development -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Lung Smooth Muscle Development -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Cell Cycle

Pathway: Peyer'S Patch Morphogenesis -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Mitochondrial Metabolism

Pathway: Trachea Gland Development -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism

Pathway: Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Pulmonary Artery Morphogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome

Pathway: Mrna Destabilization -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: 3'-Utr-Mediated Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair

Pathway: Establishment Of Bipolar Cell Polarity Involved In Cell Morphogenesis -> Biodomain: Cell Cycle, Proteostasis, Synapse, Apoptosis, Myelination

Pathway: Establishment Of Monopolar Cell Polarity -> Biodomain: Cell Cycle, Proteostasis, Synapse, Apoptosis, Autophagy

Pathway: Endoplasmic Reticulum Polarization -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Immune Response, Structural Stabilization

Pathway: Negative Regulation Of Hair Follicle Placode Formation -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome

Pathway: Regulation Of Establishment Of Bipolar Cell Polarity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Cell Cycle

Pathway: Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Cell Cycle

Pathway: Negative Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis

Pathway: Mammary Gland Epithelium Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Apoptosis, Proteostasis

Pathway: Regulation Of Chondrocyte Development -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis

Pathway: Negative Regulation Of Chondrocyte Development -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Endolysosome

Pathway: Positive Regulation Of Dermatome Development -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair

Pathway: Negative Regulation Of Dermatome Development -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Negative Regulation Of Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle

Pathway: Positive Regulation Of Sclerotome Development -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Myelination, Apoptosis

Pathway: Taste Bud Development -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Fungiform Papilla Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis

Pathway: Fungiform Papilla Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Mitochondrial Metabolism

Pathway: Fungiform Papilla Formation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Proteostasis, Endolysosome

Pathway: Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane -> Biodomain: Synapse, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress

Pathway: Paramesonephric Duct Development -> Biodomain: Immune Response, Mitochondrial Metabolism, Structural Stabilization, Apoptosis, Endolysosome

Pathway: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Mesonephric Nephron Morphogenesis -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Cell Cycle

Pathway: Retina Vasculature Development In Camera-Type Eye -> Biodomain: Vasculature, Retina Metabolism, Immune Response, Structural Stabilization, Apoptosis

Pathway: Retina Vasculature Morphogenesis In Camera-Type Eye -> Biodomain: Vasculature, Retina Vasculature Morphogenesis, Immune Response, Mitochondrial Metabolism, Structural Stabilization

Pathway: Cerebellum Vasculature Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Immune Response, Apoptosis, Structural Stabilization

Pathway: Cerebellum Vasculature Morphogenesis -> Biodomain: Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis, Apoptosis

Pathway: Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Apoptosis

Pathway: Cornea Development In Camera-Type Eye -> Biodomain: Synapse, Immune Response, Structural Stabilization, Apoptosis, Endolysosome

Pathway: Retinal Blood Vessel Morphogenesis -> Biodomain: Vasculature, Apoptosis, Immune Response, Structural Stabilization, Oxidative Stress

Pathway: Cardiac Neural Crest Cell Development Involved In Heart Development -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Myelination

Pathway: Cardiac Neural Crest Cell Development Involved In Outflow Tract Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Autophagy, Mitochondrial Metabolism

Pathway: Cell Surface Receptor Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Proteostasis

Pathway: Notch Signaling Involved In Heart Development -> Biodomain: Immune Response, Mitochondrial Metabolism, Structural Stabilization, Apoptosis, Endolysosome

Pathway: Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Cell Proliferation Involved In Outflow Tract Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Renal Tubule Development -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle

Pathway: Renal Tubule Morphogenesis -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization

Pathway: Cardiac Conduction -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis

Pathway: Establishment Or Maintenance Of Monopolar Cell Polarity -> Biodomain: Cell Cycle, Proteostasis, Synapse, Apoptosis, Immune Response

Pathway: Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Endolysosome

Pathway: Regulation Of Cell Adhesion Involved In Heart Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle

Pathway: Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Wnt Protein Secretion -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis, Cell Cycle

Pathway: Positive Regulation Of Wnt Protein Secretion -> Biodomain: Immune Response, Structural Stabilization, Synapse, Apoptosis, Mitochondrial Metabolism

Pathway: Negative Regulation Of Wnt Protein Secretion -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Optic Chiasma Development -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Apoptosis

Pathway: Apoptotic Process Involved In Luteolysis -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Triglyceride Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Behavioral Response To Acetic Acid Induced Pain -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle

Pathway: Behavioral Response To Formalin Induced Pain -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Negative Regulation Of Testicular Blood Vessel Morphogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Cell Cycle

Pathway: Testosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Endolysosome, Proteostasis

Pathway: Determination Of Heart Left/Right Asymmetry -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Mammillary Axonal Complex Development -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response

Pathway: Mammillothalamic Axonal Tract Development -> Biodomain: Synapse, Myelination, Cell Cycle, Proteostasis, DNA Repair

Pathway: Mammary Gland Lobule Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Apoptosis

Pathway: Inferior Colliculus Development -> Biodomain: Synapse, Immune Response, Myelination, Apoptosis, Cell Cycle

Pathway: Cell Migration In Diencephalon -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Mitochondrial Metabolism

Pathway: Heart Trabecula Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis

Pathway: Closure Of Optic Fissure -> Biodomain: Vasculature, Synapse, Apoptosis, Proteostasis, Cell Cycle

Pathway: Bone Trabecula Morphogenesis -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Apoptosis, DNA Repair

Pathway: Cellular Response To Methionine -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Cellular Response To Caloric Restriction -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Mitochondrial Metabolism

Pathway: Establishment Of Skin Barrier -> Biodomain: Proteostasis, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis

Pathway: Renal Artery Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle

Pathway: Endocardial Cushion Cell Development -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization

Pathway: Endocardial Cushion Cell Fate Commitment -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Apoptosis, Myelination

Pathway: Connective Tissue Development -> Biodomain: Structural Stabilization, Immune Response, Mitochondrial Metabolism, Apoptosis, Autophagy

Pathway: Trophoblast Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis

Pathway: Retrotrapezoid Nucleus Neuron Differentiation -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Proteostasis

Pathway: Reproductive System Development -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis, Cell Cycle

Pathway: L-Arginine Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Amino Acid Metabolism, Mitochondrial Metabolism, Autophagy, Immune Response

Pathway: Protein Localization To Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Immune Response

Pathway: O-Acetyl-Adp-Ribose Deacetylase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Oxidative Stress

Pathway: Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: T Follicular Helper Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Phagolysosome Membrane -> Biodomain: Endolysosome, Immune Response, Autophagy, Structural Stabilization, Oxidative Stress

Pathway: Response To Tnf Agonist -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Hematopoietic Stem Cell Homeostasis -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Autophagy

Pathway: Memory T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome

Pathway: 2',3'-Cyclic Gmp-Amp Synthase Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, DNA Repair

Pathway: Early Endosome To Recycling Endosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis

Pathway: 2',3'-Cyclic Gmp-Amp Binding -> Biodomain: Immune Response, Oxidative Stress, Autophagy, DNA Repair, Structural Stabilization

Pathway: Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Protein Localization To Cilium -> Biodomain: Cilium, Proteostasis, Synapse, Cell Cycle, Autophagy

Pathway: Glucose 6-Phosphate:Phosphate Antiporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Interleukin-34-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Myeloid Cell Development -> Biodomain: Immune Response, Myelination, Apoptosis, Cell Cycle, Structural Stabilization

Pathway: Monocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Microglial Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Mitochondrial Metabolism

Pathway: Macrophage Homeostasis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle

Pathway: Langerhans Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome

Pathway: Cilium Disassembly -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress, Cell Cycle

Pathway: Hindgut Development -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle

Pathway: Acetylcholine Secretion -> Biodomain: Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Gamma-Aminobutyric Acid Secretion, Neurotransmission -> Biodomain: Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Glycine Secretion, Neurotransmission -> Biodomain: Synapse, Immune Response, Apoptosis, Oxidative Stress, Mitochondrial Metabolism

Pathway: 3-Demethylubiquinol 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Glycogen Synthase Activity, Transferring Glucose-1-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Glycogen Metabolism, Proteostasis, Autophagy

Pathway: Ganglion Development -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Cell Cycle, Apoptosis

Pathway: Sympathetic Ganglion Development -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Structural Stabilization, Autophagy

Pathway: Cranial Ganglion Development -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Autophagy, Structural Stabilization

Pathway: Trigeminal Ganglion Development -> Biodomain: Immune Response, Synapse, Structural Stabilization, Autophagy, Mitochondrial Metabolism

Pathway: Axon Development -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Immune Response, Cell Cycle

Pathway: Actin Filament Bundle Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Immune Response

Pathway: Actin Filament Bundle Retrograde Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, DNA Repair

Pathway: Asap Complex -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Autophagy, Immune Response

Pathway: Cyclin-Dependent Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Immune Response, Apoptosis

Pathway: K63-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, DNA Repair

Pathway: Colon Epithelial Cell Migration -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism

Pathway: Intestinal Epithelial Cell Migration -> Biodomain: Cell Cycle, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Positive Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Epigenetic

Pathway: Calcium Activated Phospholipid Scrambling -> Biodomain: Membrane Dynamics, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Calcium Activated Phosphatidylserine Scrambling -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Autophagy

Pathway: Calcium Activated Phosphatidylcholine Scrambling -> Biodomain: Membrane Dynamics, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism

Pathway: Calcium Activated Galactosylceramide Scrambling -> Biodomain: Membrane Dynamics, Lipid Metabolism, Calcium Signaling, Cell Signaling, Autophagy

Pathway: Molybdopterin Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Molybdopterin Molybdotransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Molybdopterin-Synthase Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Molybdopterin-Synthase Adenylyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Nuclear Import Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, DNA Repair, Immune Response

Pathway: Fructose-1-Phosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Mannose To Fructose-6-Phosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Mirna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy

Pathway: Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Micos Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism

Pathway: Glycolytic Process Through Glucose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Canonical Glycolysis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle

Pathway: Glycolytic Process From Galactose -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Fructose Catabolic Process To Hydroxyacetone Phosphate And Glyceraldehyde-3-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Pharyngeal Arch Artery Morphogenesis -> Biodomain: Vasculature, Apoptosis, Immune Response, Structural Stabilization, Myelination

Pathway: S-Methylmethionine-Homocysteine S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Histone H3K27Me3 Reader Activity -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy

Pathway: Rna Polymerase Ii-Specific Dna-Binding Transcription Factor Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Immune Response

Pathway: Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Ubiquitin Conjugating Enzyme Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Rna Lariat Debranching Enzyme Activator Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Epigenetic, DNA Repair

Pathway: Regulation Of Protein Complex Stability -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, DNA Repair, Apoptosis

Pathway: Cenp-A Containing Chromatin -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Structural Stabilization

Pathway: Cytoskeleton-Dependent Cytokinesis -> Biodomain: Cell Cycle, Cytoskeleton-Dependent Cytokinesis, Proteostasis, Apoptosis, Immune Response

Pathway: Chemoattraction Of Axon -> Biodomain: Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Chemorepulsion Of Axon -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Cell Cycle

Pathway: Protein Localization To Cenp-A Containing Chromatin -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, RNA Spliceosome

Pathway: Positive Regulation Of Glutamate Neurotransmitter Secretion In Response To Membrane Depolarization -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Ubiquitin-Modified Histone Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response

Pathway: Atg12 Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Nedd8 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, DNA Repair

Pathway: Sumo Conjugating Enzyme Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Ufm1 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Oxidative Stress

Pathway: Ubiquitin-Like Protein Ligase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Nedd8 Ligase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair

Pathway: Sumo Ligase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Epigenetic

Pathway: Ufm1 Ligase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Oxidative Stress

Pathway: Mitochondrial Ribosome Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis

